4096 x 4096 sparse matrix, nnz = 7674
(17,1405)	3.0
(17,1407)	3.0
(17,1414)	3.0
(20,1407)	3.0
(20,1415)	3.0
(24,1397)	3.0
(29,1429)	3.0
(32,1430)	10.0
(42,1429)	3.0
(43,1366)	3.0
(48,1430)	3.0
(53,1432)	100.0
(59,1370)	6.0
(60,1428)	3.0
(62,1577)	6.0
(62,1578)	9.0
(63,1579)	3.0
(64,1369)	3.0
(64,1395)	3.0
(64,1546)	16.0
(64,1553)	3.0
(64,1554)	3.0
(64,1555)	3.0
(64,1580)	6.0
(64,1581)	3.0
(64,1587)	6.0
(64,1595)	6.0
(64,1613)	3.0
(65,1549)	3.0
(65,1557)	3.0
(66,1428)	3.0
(67,1396)	3.0
(67,1543)	12.0
(69,1351)	6.0
(69,1370)	3.0
(70,1430)	3.0
(72,1543)	6.0
(72,1620)	3.0
(73,1379)	3.0
(74,1543)	3.0
(74,1557)	3.0
(75,1369)	3.0
(76,1431)	9.0
(76,1544)	12.0
(76,1556)	3.0
(77,1368)	13.0
(77,1431)	15.0
(77,1636)	3.0
(78,1367)	3.0
(78,1375)	3.0
(78,1431)	3.0
(79,1430)	103.0
(79,1431)	42.0
(79,1534)	3.0
(79,1535)	9.0
(79,1541)	6.0
(80,1364)	3.0
(80,1430)	3.0
(81,1359)	3.0
(81,1363)	6.0
(81,1364)	109.0
(82,1433)	21.0
(82,1553)	3.0
(83,1386)	3.0
(83,1387)	9.0
(83,1530)	6.0
(83,1551)	3.0
(84,1527)	3.0
(84,1528)	3.0
(85,1350)	6.0
(85,1362)	3.0
(85,1391)	12.0
(85,1392)	12.0
(85,1393)	6.0
(85,1433)	3.0
(86,1549)	3.0
(87,1362)	3.0
(87,1647)	3.0
(88,1348)	3.0
(89,1519)	6.0
(91,1513)	9.0
(92,1363)	3.0
(92,1472)	3.0
(93,1346)	6.0
(93,1466)	3.0
(94,1363)	3.0
(95,1462)	3.0
(95,1478)	3.0
(96,1461)	3.0
(96,1480)	3.0
(97,1461)	3.0
(97,1496)	3.0
(98,1418)	6.0
(98,1485)	15.0
(98,1643)	3.0
(98,1644)	3.0
(98,1646)	3.0
(99,1363)	3.0
(99,1403)	3.0
(99,1416)	6.0
(100,1490)	3.0
(101,1343)	3.0
(101,1363)	3.0
(101,1405)	3.0
(101,1406)	3.0
(101,1490)	3.0
(102,1443)	3.0
(103,1543)	35.0
(103,1609)	3.0
(104,1342)	6.0
(104,1363)	3.0
(104,1543)	3.0
(104,1609)	9.0
(105,1606)	6.0
(106,1415)	9.0
(106,1431)	6.0
(106,1657)	6.0
(107,1340)	3.0
(107,1433)	9.0
(108,1339)	6.0
(108,1362)	3.0
(108,1433)	3.0
(109,1422)	3.0
(109,1446)	3.0
(109,1542)	9.0
(110,1436)	6.0
(110,1450)	3.0
(110,1452)	125.0
(110,1453)	12.0
(111,1338)	3.0
(111,1455)	3.0
(111,1602)	3.0
(113,1358)	3.0
(113,1538)	3.0
(113,1662)	13.0
(114,1537)	6.0
(115,1357)	6.0
(115,1535)	3.0
(115,1593)	6.0
(115,1663)	13.0
(115,1866)	3.0
(116,1336)	3.0
(116,1440)	12.0
(116,1531)	6.0
(116,1533)	3.0
(116,1552)	9.0
(116,1663)	6.0
(117,1583)	3.0
(117,1587)	9.0
(117,1589)	3.0
(117,1663)	6.0
(118,1355)	3.0
(120,1334)	3.0
(121,1355)	3.0
(121,1388)	6.0
(121,1662)	3.0
(122,1387)	3.0
(122,1461)	3.0
(122,1662)	9.0
(122,1864)	3.0
(123,1383)	9.0
(123,1525)	3.0
(123,1863)	3.0
(124,1334)	3.0
(124,1355)	6.0
(124,1410)	3.0
(125,1524)	3.0
(126,1353)	9.0
(126,1366)	9.0
(126,1374)	3.0
(127,1367)	3.0
(127,1372)	3.0
(128,1333)	3.0
(128,1351)	3.0
(128,1352)	3.0
(128,1370)	3.0
(128,1371)	3.0
(128,1746)	100.0
(129,1345)	3.0
(129,1355)	9.0
(129,1495)	3.0
(129,1659)	9.0
(130,1494)	6.0
(131,1411)	9.0
(132,1334)	3.0
(132,1355)	24.0
(132,1443)	3.0
(133,1331)	3.0
(133,1411)	3.0
(133,1514)	3.0
(134,1478)	6.0
(134,1480)	3.0
(134,1859)	3.0
(135,1662)	103.0
(136,1662)	100.0
(136,1859)	3.0
(137,1521)	6.0
(137,1753)	6.0
(138,1526)	6.0
(138,1530)	15.0
(138,1851)	10.0
(139,1528)	3.0
(139,1857)	6.0
(140,1355)	3.0
(140,1407)	6.0
(140,1529)	3.0
(140,1531)	3.0
(140,1858)	6.0
(141,1331)	3.0
(141,1355)	3.0
(142,1333)	6.0
(142,1531)	3.0
(142,1765)	3.0
(143,1355)	3.0
(144,1335)	6.0
(144,1355)	6.0
(144,1356)	3.0
(144,1858)	6.0
(145,1336)	103.0
(145,1402)	3.0
(146,1356)	3.0
(146,1402)	6.0
(146,1432)	3.0
(146,1770)	3.0
(147,1357)	9.0
(148,1337)	3.0
(148,1401)	9.0
(148,1559)	3.0
(148,1846)	3.0
(149,1337)	3.0
(149,1455)	6.0
(149,1856)	3.0
(150,1423)	3.0
(150,1533)	9.0
(151,1358)	12.0
(151,1421)	3.0
(151,1659)	3.0
(151,1847)	3.0
(152,1781)	3.0
(153,1359)	3.0
(153,1386)	3.0
(153,1401)	6.0
(153,1535)	3.0
(154,1339)	3.0
(154,1359)	3.0
(155,1340)	19.0
(155,1359)	12.0
(155,1401)	12.0
(156,1662)	3.0
(157,1359)	3.0
(158,1374)	3.0
(160,1342)	3.0
(160,1359)	3.0
(160,1537)	3.0
(161,1343)	19.0
(161,1359)	9.0
(161,1566)	3.0
(161,1664)	6.0
(162,1343)	3.0
(162,1359)	3.0
(162,1440)	3.0
(162,1664)	3.0
(163,1345)	6.0
(163,1410)	6.0
(163,1414)	9.0
(164,1345)	9.0
(164,1359)	6.0
(164,1537)	6.0
(165,1345)	3.0
(165,1360)	6.0
(165,1390)	9.0
(165,1537)	6.0
(165,1665)	6.0
(166,1346)	3.0
(166,1666)	3.0
(166,1849)	113.0
(167,1389)	3.0
(167,1412)	6.0
(167,1571)	3.0
(167,1666)	3.0
(168,1360)	9.0
(169,1346)	3.0
(169,1347)	3.0
(169,1537)	3.0
(169,1852)	3.0
(171,1360)	9.0
(171,1361)	13.0
(171,1387)	3.0
(171,1851)	3.0
(172,1361)	9.0
(172,1605)	6.0
(172,1607)	3.0
(173,1348)	3.0
(173,1378)	6.0
(173,1537)	9.0
(173,1603)	3.0
(174,1348)	3.0
(175,1347)	3.0
(175,1383)	3.0
(175,1589)	6.0
(175,1616)	3.0
(176,1361)	6.0
(176,1597)	3.0
(176,1620)	3.0
(177,1368)	9.0
(177,1577)	3.0
(178,1347)	6.0
(178,1361)	6.0
(178,1625)	9.0
(178,1626)	6.0
(178,1773)	3.0
(179,1361)	3.0
(179,1394)	3.0
(179,1539)	3.0
(179,1847)	6.0
(180,1347)	3.0
(180,1361)	3.0
(180,1387)	3.0
(180,1427)	3.0
(180,1627)	6.0
(180,1628)	9.0
(181,1361)	6.0
(182,1348)	3.0
(182,1361)	3.0
(182,1421)	3.0
(183,1348)	3.0
(183,1360)	9.0
(183,1406)	3.0
(184,1349)	3.0
(184,1355)	3.0
(184,1356)	3.0
(184,1360)	3.0
(185,1353)	3.0
(185,1354)	206.0
(185,1387)	3.0
(185,1562)	32.0
(185,1629)	9.0
(186,1359)	6.0
(186,1387)	3.0
(186,1563)	3.0
(186,1572)	9.0
(187,1350)	3.0
(187,1359)	9.0
(187,1559)	6.0
(188,1359)	9.0
(188,1548)	3.0
(188,1662)	3.0
(189,1359)	3.0
(189,1569)	3.0
(189,1630)	3.0
(190,1359)	6.0
(190,1360)	3.0
(190,1547)	18.0
(190,1565)	3.0
(191,1360)	9.0
(191,1387)	3.0
(192,1360)	24.0
(192,1632)	9.0
(192,1652)	9.0
(193,1543)	6.0
(193,1546)	3.0
(193,1632)	3.0
(193,1687)	6.0
(194,1361)	3.0
(194,1362)	15.0
(194,1533)	3.0
(195,1363)	3.0
(195,1680)	3.0
(196,1532)	3.0
(196,1544)	3.0
(196,1761)	3.0
(197,1365)	6.0
(197,1645)	3.0
(197,1646)	6.0
(198,1348)	6.0
(198,1542)	3.0
(199,1532)	3.0
(199,1853)	10.0
(200,1387)	12.0
(200,1644)	3.0
