16384 x 16384 sparse matrix, nnz = 8179
(67,5618)	3.0
(68,5627)	3.0
(68,5654)	3.0
(78,5625)	3.0
(79,5658)	3.0
(94,5588)	3.0
(113,5716)	3.0
(128,5718)	10.0
(167,5715)	3.0
(172,5463)	3.0
(189,5717)	3.0
(210,5726)	100.0
(235,5480)	6.0
(238,5710)	3.0
(245,6306)	6.0
(248,6310)	9.0
(252,6314)	3.0
(253,6317)	6.0
(253,6321)	3.0
(253,6347)	6.0
(253,6451)	3.0
(255,5475)	3.0
(255,6184)	13.0
(255,6215)	3.0
(255,6218)	3.0
(255,6380)	6.0
(256,5579)	3.0
(256,6181)	3.0
(256,6212)	3.0
(257,6226)	3.0
(260,6195)	3.0
(262,5712)	3.0
(265,5584)	3.0
(267,6169)	12.0
(273,5401)	6.0
(273,5478)	3.0
(279,5717)	3.0
(285,6479)	3.0
(286,6171)	6.0
(290,5516)	3.0
(294,6171)	3.0
(294,6227)	3.0
(298,5475)	3.0
(301,5723)	6.0
(303,6173)	9.0
(303,6174)	3.0
(303,6221)	3.0
(304,5723)	3.0
(305,5723)	15.0
(305,6542)	3.0
(306,5469)	13.0
(310,5465)	3.0
(311,5497)	3.0
(311,5721)	3.0
(313,6163)	6.0
(314,5720)	100.0
(314,5724)	42.0
(314,6138)	9.0
(316,5720)	3.0
(316,6133)	3.0
(317,5718)	3.0
(319,5456)	3.0
(321,5453)	109.0
(322,5434)	3.0
(322,5452)	6.0
(325,6210)	3.0
(327,5732)	21.0
(329,6119)	6.0
(330,5542)	3.0
(332,5546)	9.0
(332,6203)	3.0
(334,6111)	3.0
(336,6108)	3.0
(337,5561)	9.0
(337,5562)	3.0
(337,5565)	9.0
(337,5567)	3.0
(338,5448)	3.0
(338,5569)	6.0
(338,5732)	3.0
(339,5398)	6.0
(344,6195)	3.0
(347,5448)	3.0
(347,6587)	3.0
(351,5392)	3.0
(355,6073)	6.0
(364,6049)	6.0
(364,6052)	3.0
(365,5888)	3.0
(367,5450)	3.0
(369,5382)	6.0
(371,5864)	3.0
(374,5450)	3.0
(378,5912)	3.0
(379,5848)	3.0
(381,5917)	3.0
(383,5842)	3.0
(385,5841)	3.0
(387,5983)	3.0
(389,5670)	6.0
(390,6576)	3.0
(390,6583)	3.0
(391,6572)	3.0
(392,5938)	15.0
(394,5451)	3.0
(395,5611)	3.0
(396,5661)	6.0
(400,5958)	3.0
(401,5618)	3.0
(401,5959)	3.0
(403,5372)	3.0
(403,5621)	3.0
(404,5452)	3.0
(408,5771)	3.0
(409,6436)	3.0
(410,6171)	35.0
(413,6435)	9.0
(415,5366)	6.0
(415,5452)	3.0
(415,6170)	3.0
(420,6422)	6.0
(421,5657)	3.0
(421,5723)	6.0
(422,5658)	6.0
(424,6628)	6.0
(426,5358)	3.0
(427,5729)	9.0
(429,5356)	3.0
(429,5730)	3.0
(431,5446)	3.0
(432,5354)	3.0
(434,5784)	3.0
(434,6165)	9.0
(436,5686)	3.0
(437,5798)	3.0
(438,5806)	125.0
(439,5744)	6.0
(439,5809)	6.0
(439,5810)	6.0
(441,5349)	3.0
(441,5820)	3.0
(443,6405)	3.0
(449,5432)	3.0
(450,6151)	3.0
(451,6646)	13.0
(454,6146)	6.0
(457,6370)	6.0
(458,5426)	6.0
(458,7464)	3.0
(459,6140)	3.0
(460,6650)	13.0
(462,6651)	3.0
(463,5342)	3.0
