8192 x 8192 sparse matrix, nnz = 8041
(305,2802)	6.0
(305,3070)	3.0
(306,2718)	3.0
(306,2771)	3.0
(308,2677)	3.0
(308,2718)	3.0
(309,2802)	12.0
(310,2680)	19.0
(310,2718)	12.0
(311,3323)	3.0
(313,2718)	3.0
(316,2747)	3.0
(319,2718)	3.0
(319,3074)	3.0
(320,2684)	3.0
(321,2718)	3.0
(321,3328)	3.0
(322,2685)	19.0
(322,2718)	6.0
(322,3132)	3.0
(322,3328)	3.0
(323,2686)	3.0
(323,2718)	3.0
(324,2880)	3.0
(324,3328)	3.0
(326,2689)	6.0
(326,2820)	6.0
(326,2827)	9.0
(327,2689)	9.0
(327,2718)	6.0
(327,3073)	6.0
(329,3330)	6.0
(330,2690)	3.0
(330,2719)	6.0
(330,2780)	9.0
(330,3073)	6.0
(331,3697)	113.0
(332,2691)	3.0
(332,3331)	3.0
(333,2777)	3.0
(333,2823)	6.0
(334,3142)	3.0
(334,3331)	3.0
(335,2719)	6.0
(336,2719)	3.0
(337,2692)	3.0
(337,3073)	3.0
(337,3703)	3.0
(338,2693)	3.0
(341,2720)	9.0
(341,3702)	3.0
(342,2721)	13.0
(342,2774)	3.0
(343,3210)	6.0
(343,3213)	3.0
(344,2721)	9.0
(345,2695)	3.0
(345,3073)	9.0
(345,3205)	3.0
(346,2756)	6.0
(347,2695)	3.0
(349,2765)	3.0
(349,3178)	6.0
(350,2694)	3.0
(350,3231)	3.0
(351,2722)	6.0
(351,3194)	3.0
(351,3239)	3.0
(353,2736)	9.0
(353,3153)	3.0
(355,2722)	3.0
(355,3250)	9.0
(355,3546)	3.0
(356,2693)	6.0
(356,2722)	3.0
(356,3252)	6.0
(357,2722)	3.0
(357,2787)	3.0
(357,3694)	6.0
(358,3078)	3.0
(359,2694)	3.0
(359,2773)	3.0
(359,3254)	6.0
(360,2722)	3.0
(360,2853)	3.0
(360,3255)	9.0
(361,2722)	6.0
(363,2696)	3.0
(363,2842)	3.0
(364,2721)	3.0
(365,2696)	3.0
(365,2720)	6.0
(366,2720)	3.0
(366,2811)	3.0
(367,2719)	3.0
(368,2697)	3.0
(368,2710)	3.0
(368,2711)	3.0
(369,2707)	206.0
(369,3258)	6.0
(370,2706)	3.0
(370,2773)	3.0
(370,3123)	32.0
(370,3258)	3.0
(372,2718)	6.0
(372,2773)	3.0
(372,3126)	3.0
(372,3143)	9.0
(373,3117)	6.0
(374,2699)	3.0
(374,2718)	9.0
(376,2718)	9.0
(376,3096)	3.0
(376,3324)	3.0
(377,3138)	3.0
(378,2718)	3.0
(378,3260)	3.0
(379,2718)	6.0
(379,3093)	18.0
(379,3130)	3.0
(380,2719)	3.0
(381,2719)	6.0
(382,2719)	3.0
(382,2774)	3.0
(383,2719)	6.0
(383,3303)	9.0
(384,2720)	18.0
(384,3263)	9.0
(385,3086)	6.0
(385,3264)	3.0
(386,3092)	3.0
(386,3373)	3.0
(386,3374)	3.0
(387,2722)	3.0
(387,2723)	3.0
(387,3066)	3.0
(388,2723)	9.0
(388,2724)	3.0
(389,3359)	3.0
(390,2726)	3.0
(391,3087)	3.0
(392,3063)	3.0
(392,3521)	3.0
(393,3291)	6.0
(394,2729)	6.0
(394,3290)	3.0
(395,2696)	6.0
(395,3083)	3.0
(398,3063)	3.0
(398,3706)	10.0
(399,3288)	3.0
(400,2774)	12.0
(401,3062)	6.0
(401,3081)	18.0
(401,3352)	6.0
(403,2730)	3.0
(404,2837)	3.0
(404,2841)	3.0
(404,3286)	3.0
(404,3350)	3.0
(405,2772)	6.0
(405,3280)	3.0
(405,3415)	3.0
(406,2729)	3.0
(406,3333)	3.0
(407,2772)	6.0
(407,3329)	3.0
(407,3342)	3.0
(408,2849)	3.0
(408,2850)	3.0
(408,2870)	3.0
(408,3278)	3.0
(408,3416)	3.0
(409,2728)	6.0
(409,3386)	6.0
(411,2727)	6.0
(411,3387)	24.0
(412,3373)	3.0
(412,3375)	3.0
(415,2725)	3.0
(415,3713)	3.0
(417,2724)	3.0
(417,3390)	6.0
(418,2724)	3.0
(418,2768)	3.0
(418,3284)	3.0
(419,2724)	3.0
(419,3079)	3.0
(419,3304)	26.0
(419,3305)	3.0
(419,3490)	6.0
(420,2724)	13.0
(420,3303)	20.0
(421,2723)	3.0
(421,3231)	3.0
(422,3410)	3.0
(423,2612)	3.0
(423,2761)	3.0
(423,3075)	3.0
(424,3321)	3.0
(425,2615)	3.0
(425,2617)	9.0
(425,2758)	3.0
(427,3495)	3.0
(428,2723)	9.0
(428,2753)	3.0
(428,2819)	3.0
(430,2723)	6.0
(430,2752)	3.0
(431,3068)	3.0
(432,2723)	6.0
(432,3714)	3.0
(433,3224)	3.0
(434,3362)	3.0
(435,2723)	3.0
(437,2723)	6.0
(437,2762)	3.0
(438,2723)	9.0
(439,3020)	3.0
(440,2724)	12.0
(440,3020)	9.0
(440,3149)	3.0
(441,3018)	3.0
(441,3019)	3.0
(441,3315)	6.0
(442,2623)	3.0
(442,3436)	6.0
(443,3057)	3.0
(444,2725)	3.0
(444,2741)	110.0
(444,3168)	9.0
(445,3152)	3.0
(445,3171)	3.0
(445,3313)	3.0
(446,2725)	15.0
(446,2729)	3.0
(446,3052)	3.0
(447,2729)	3.0
(447,3311)	6.0
(448,2623)	3.0
(448,2726)	3.0
(448,3049)	6.0
(448,3106)	3.0
(448,3181)	3.0
(448,3310)	3.0
(449,3182)	6.0
(450,2736)	27.0
(450,3005)	3.0
(450,3433)	3.0
(451,2727)	6.0
(451,3046)	3.0
(451,3724)	3.0
(452,3083)	6.0
(453,3043)	3.0
(453,3302)	3.0
(454,2779)	9.0
(454,3040)	12.0
(455,2734)	3.0
(456,2728)	6.0
(457,2749)	6.0
(457,3035)	21.0
(458,2729)	3.0
(458,2751)	6.0
(458,2880)	9.0
(458,2978)	3.0
(459,3158)	3.0
(460,2729)	6.0
(460,3031)	110.0
(461,2998)	3.0
(462,2730)	6.0
(462,2761)	3.0
(462,3025)	6.0
(462,3027)	3.0
(462,3443)	3.0
(463,2730)	15.0
(463,2983)	3.0
(463,3445)	3.0
(464,2761)	3.0
(464,3022)	15.0
(464,3446)	100.0
(465,2731)	12.0
(465,2761)	3.0
(465,2811)	6.0
(465,2884)	3.0
(466,3019)	3.0
(466,3297)	6.0
(467,2627)	3.0
(467,2731)	3.0
(467,3071)	3.0
(468,2732)	6.0
(469,3014)	6.0
(469,3016)	22.0
(469,3017)	3.0
(469,3709)	3.0
(470,2628)	13.0
(470,2733)	3.0
(470,2887)	6.0
(470,2977)	3.0
(470,3011)	6.0
(471,2733)	3.0
(471,3083)	3.0
(472,2629)	3.0
(472,2733)	3.0
(472,2980)	3.0
(472,2981)	9.0
(472,3455)	9.0
(473,2630)	6.0
(473,2889)	6.0
(473,3011)	9.0
(473,3047)	3.0
(473,3055)	3.0
(473,3087)	3.0
(473,3143)	6.0
(474,2889)	3.0
(474,2985)	6.0
(474,3048)	3.0
(475,2630)	6.0
(475,2734)	3.0
(475,2986)	3.0
(475,3007)	6.0
(475,3046)	3.0
(475,3086)	3.0
(475,3381)	3.0
(475,3458)	3.0
(476,2735)	16.0
(476,2817)	6.0
(476,2958)	9.0
(476,3045)	3.0
(476,3093)	3.0
(476,3127)	3.0
(477,2631)	3.0
(477,2995)	3.0
(477,3003)	12.0
(477,3153)	9.0
(478,2736)	3.0
(479,2892)	3.0
(479,3036)	9.0
(480,2632)	12.0
(480,2736)	12.0
(481,2632)	3.0
(481,3461)	3.0
(484,2898)	3.0
(485,2633)	9.0
(485,2737)	3.0
(485,2902)	3.0
(485,2956)	6.0
(485,3024)	3.0
(486,3020)	3.0
(487,2634)	3.0
(487,3018)	3.0
(487,3301)	3.0
(488,2634)	6.0
(488,3505)	3.0
(489,2635)	9.0
(489,2737)	9.0
(490,2954)	9.0
(492,2636)	3.0
(492,3528)	3.0
(493,2737)	12.0
(493,2986)	3.0
(494,2636)	3.0
(494,2737)	6.0
(494,2944)	3.0
(494,2982)	3.0
(495,2637)	22.0
(495,2980)	12.0
(496,2736)	19.0
(496,2882)	6.0
(496,3541)	6.0
(496,3615)	3.0
(496,3731)	6.0
(497,2871)	3.0
(497,2968)	3.0
(497,3615)	3.0
(499,2638)	6.0
(499,3473)	3.0
(499,3480)	9.0
(499,3482)	3.0
(500,2638)	3.0
(500,2736)	16.0
(500,3036)	6.0
(501,2639)	24.0
(501,3190)	3.0
(502,2736)	3.0
(502,3245)	6.0
(503,2697)	3.0
(503,2702)	3.0
(503,2735)	115.0
(503,2936)	100.0
(503,2940)	9.0
(504,2640)	6.0
(504,2692)	6.0
(504,2693)	3.0
(504,2694)	6.0
(505,2640)	24.0
(505,2690)	6.0
(505,2691)	9.0
(505,2692)	6.0
(505,2735)	3.0
(505,2860)	6.0
(505,2939)	6.0
(505,3575)	6.0
(506,2640)	3.0
(506,2709)	10.0
(506,2712)	3.0
(506,2713)	3.0
(506,2715)	3.0
(506,2716)	6.0
(506,2717)	3.0
(506,3491)	3.0
(507,2640)	18.0
(507,2641)	9.0
(507,2682)	12.0
(507,2720)	3.0
(507,2937)	6.0
(507,2939)	3.0
(508,2675)	9.0
(508,2676)	9.0
(508,2832)	21.0
(508,2937)	3.0
(508,3549)	3.0
(509,2669)	6.0
(509,2672)	3.0
(509,2725)	3.0
(509,2733)	12.0
(509,2734)	6.0
(509,2833)	3.0
(509,2937)	6.0
(509,2938)	6.0
(509,3674)	3.0
(509,3679)	3.0
(510,2937)	3.0
(510,3680)	3.0
(511,2642)	3.0
(511,2664)	6.0
(511,3498)	3.0
(511,3499)	3.0
(511,3675)	21.0
(512,2642)	3.0
(512,2657)	3.0
(512,2736)	12.0
(512,2937)	3.0
(512,3482)	10.0
(512,3673)	3.0
(512,3674)	6.0
(513,2655)	3.0
(513,2737)	9.0
(513,2847)	3.0
(513,2848)	3.0
(514,2648)	16.0
(514,2651)	3.0
(514,2739)	6.0
(514,2793)	3.0
(514,2794)	18.0
(514,2802)	16.0
(514,3672)	3.0
(514,3718)	6.0
(515,2642)	3.0
(515,2643)	3.0
(515,2644)	6.0
(515,2787)	3.0
(515,2790)	3.0
