1024 x 1024 sparse matrix, nnz = 6148
(5,352)	9.0
(5,354)	6.0
(6,350)	3.0
(8,358)	13.0
(11,342)	3.0
(11,358)	3.0
(12,358)	3.0
(14,358)	100.0
(15,343)	6.0
(15,357)	3.0
(16,343)	3.0
(16,349)	3.0
(16,387)	16.0
(16,389)	9.0
(16,395)	24.0
(16,396)	3.0
(16,397)	6.0
(16,399)	6.0
(16,404)	3.0
(17,349)	3.0
(17,357)	3.0
(17,386)	12.0
(17,388)	3.0
(17,390)	3.0
(18,338)	6.0
(18,343)	3.0
(18,358)	3.0
(18,386)	6.0
(18,405)	3.0
(19,343)	3.0
(19,345)	3.0
(19,358)	9.0
(19,386)	15.0
(19,389)	3.0
(19,390)	3.0
(20,341)	3.0
(20,342)	16.0
(20,344)	3.0
(20,358)	166.0
(20,384)	12.0
(20,386)	6.0
(20,409)	3.0
(21,340)	3.0
(21,341)	115.0
(21,347)	12.0
(21,359)	21.0
(21,382)	6.0
(21,383)	6.0
(21,388)	3.0
(21,389)	3.0
(22,337)	3.0
(22,338)	6.0
(22,341)	6.0
(22,348)	24.0
(22,349)	6.0
(22,359)	3.0
(22,388)	3.0
(22,412)	3.0
(23,341)	3.0
(23,368)	3.0
(23,379)	9.0
(23,380)	6.0
(24,337)	6.0
(24,341)	3.0
(24,366)	6.0
(24,367)	3.0
(24,370)	6.0
(25,341)	3.0
(25,351)	3.0
(25,354)	6.0
(25,355)	6.0
(25,366)	3.0
(25,372)	15.0
(25,373)	3.0
(25,374)	3.0
(25,411)	6.0
(25,412)	3.0
(26,336)	9.0
(26,341)	6.0
(26,352)	6.0
(26,361)	3.0
(26,373)	3.0
(26,386)	38.0
(26,403)	12.0
(27,335)	9.0
(27,341)	3.0
(27,354)	9.0
(27,358)	6.0
(27,359)	12.0
(27,402)	6.0
(27,415)	6.0
(28,335)	3.0
(28,356)	3.0
(28,359)	6.0
(28,362)	3.0
(28,363)	128.0
(28,364)	15.0
(28,386)	9.0
(28,401)	3.0
(29,334)	3.0
(29,340)	9.0
(29,360)	12.0
(29,383)	6.0
(29,384)	6.0
(29,385)	9.0
(29,388)	9.0
(29,399)	6.0
(29,416)	32.0
(29,467)	3.0
(30,334)	3.0
(30,339)	3.0
(30,396)	3.0
(30,397)	9.0
(30,398)	3.0
(30,416)	6.0
(31,334)	3.0
(31,339)	9.0
(31,346)	9.0
(31,347)	9.0
(31,353)	3.0
(31,366)	3.0
(31,382)	3.0
(31,416)	12.0
(31,466)	6.0
(32,334)	3.0
(32,338)	6.0
(32,339)	9.0
(32,342)	12.0
(32,343)	9.0
(32,344)	3.0
(32,381)	3.0
(32,437)	100.0
(33,334)	3.0
(33,337)	3.0
(33,339)	33.0
(33,353)	9.0
(33,361)	3.0
(33,374)	9.0
(33,415)	9.0
(34,333)	3.0
(34,353)	3.0
(34,370)	9.0
(34,379)	3.0
(34,416)	203.0
(34,465)	6.0
(35,339)	3.0
(35,352)	6.0
(35,381)	6.0
(35,382)	9.0
(35,383)	21.0
(35,439)	6.0
(35,463)	10.0
(35,465)	12.0
(36,333)	3.0
(36,334)	12.0
(36,339)	15.0
(36,383)	3.0
(36,442)	3.0
(36,465)	6.0
(37,334)	103.0
(37,335)	3.0
(37,339)	3.0
(37,340)	9.0
(37,351)	18.0
(37,358)	3.0
(37,390)	3.0
(37,443)	3.0
(37,462)	3.0
(38,335)	3.0
(38,340)	12.0
(38,356)	6.0
(38,364)	6.0
(38,384)	9.0
(38,415)	3.0
(38,446)	3.0
(38,462)	3.0
(38,464)	3.0
(39,335)	22.0
(39,340)	18.0
(39,347)	3.0
(39,351)	18.0
(39,384)	3.0
(39,416)	3.0
(40,336)	3.0
(40,340)	6.0
(40,344)	3.0
(40,385)	3.0
(41,336)	22.0
(41,337)	15.0
(41,340)	18.0
(41,353)	6.0
(41,354)	9.0
(41,360)	3.0
(41,385)	6.0
(41,392)	3.0
(41,416)	9.0
(42,337)	6.0
(42,340)	15.0
(42,348)	12.0
(42,353)	6.0
(42,385)	6.0
(42,393)	3.0
(42,417)	12.0
(42,463)	113.0
(43,337)	6.0
(43,340)	9.0
(43,341)	22.0
(43,347)	3.0
(43,385)	3.0
(43,402)	9.0
(43,463)	6.0
(44,337)	9.0
(44,341)	6.0
(44,345)	6.0
(44,346)	3.0
(44,385)	9.0
(44,398)	6.0
(44,400)	3.0
(44,401)	3.0
(44,404)	3.0
(44,405)	3.0
(45,337)	9.0
(45,341)	12.0
(45,342)	9.0
(45,347)	3.0
(45,349)	3.0
(45,357)	3.0
(45,385)	3.0
(45,395)	3.0
(45,407)	30.0
(45,444)	3.0
(45,462)	6.0
(46,337)	6.0
(46,338)	3.0
(46,339)	6.0
(46,340)	12.0
(46,341)	9.0
(46,352)	3.0
(46,356)	3.0
(47,338)	3.0
(47,339)	209.0
(47,340)	24.0
(47,347)	6.0
(47,387)	3.0
(47,390)	6.0
(47,391)	35.0
(47,393)	9.0
(47,408)	9.0
(47,416)	3.0
(48,340)	45.0
(48,347)	3.0
(48,387)	18.0
(48,392)	3.0
(48,393)	3.0
(48,408)	12.0
(48,413)	9.0
(49,341)	21.0
(49,383)	3.0
(49,384)	3.0
(49,386)	9.0
(49,387)	3.0
(49,408)	3.0
(49,420)	3.0
(49,422)	6.0
(49,441)	3.0
(50,337)	6.0
(50,342)	6.0
(50,347)	12.0
(50,383)	3.0
(50,386)	3.0
(50,411)	3.0
(50,412)	9.0
(50,464)	10.0
(51,342)	6.0
(51,347)	12.0
(51,355)	3.0
(51,356)	3.0
(51,357)	6.0
(51,359)	3.0
(51,383)	6.0
(51,386)	18.0
(51,410)	6.0
(51,411)	3.0
(51,417)	6.0
(51,418)	3.0
(51,419)	9.0
(51,427)	6.0
(52,341)	15.0
(52,422)	6.0
(52,424)	30.0
(52,465)	3.0
(53,327)	3.0
(53,341)	25.0
(53,346)	6.0
(53,385)	6.0
(53,404)	3.0
(53,411)	3.0
(53,413)	46.0
(53,414)	3.0
(53,416)	3.0
(53,424)	6.0
(53,427)	3.0
(53,437)	6.0
(54,327)	3.0
(54,328)	9.0
(54,341)	21.0
(54,344)	3.0
(54,345)	6.0
(54,353)	3.0
(54,384)	3.0
(54,437)	3.0
(54,465)	3.0
(55,341)	30.0
(55,346)	3.0
(55,378)	12.0
(55,394)	3.0
(55,403)	3.0
(55,421)	3.0
(56,328)	6.0
(56,341)	21.0
(56,342)	6.0
(56,343)	110.0
(56,378)	6.0
(56,382)	9.0
(56,383)	3.0
(56,389)	3.0
(56,394)	3.0
(56,396)	9.0
(56,397)	3.0
(56,398)	3.0
(56,414)	9.0
(56,415)	9.0
(56,430)	6.0
(57,341)	12.0
(57,342)	30.0
(57,348)	9.0
(57,376)	3.0
(57,380)	12.0
(57,381)	6.0
(57,386)	6.0
(57,398)	6.0
(57,413)	3.0
(57,430)	3.0
(57,466)	3.0
(58,342)	30.0
(58,344)	12.0
(58,346)	6.0
(58,360)	9.0
(58,373)	6.0
(58,375)	3.0
(58,378)	15.0
(58,379)	119.0
(58,380)	21.0
(58,395)	3.0
(58,431)	106.0
(59,329)	19.0
(59,342)	30.0
(59,346)	3.0
(59,352)	6.0
(59,361)	9.0
(59,373)	15.0
(59,377)	34.0
(59,378)	6.0
(59,384)	3.0
(59,386)	3.0
(59,413)	6.0
(59,432)	9.0
(59,464)	3.0
(60,329)	27.0
(60,342)	34.0
(60,353)	6.0
(60,362)	12.0
(60,370)	9.0
(60,374)	9.0
(60,375)	3.0
(60,376)	18.0
(60,377)	9.0
(60,380)	9.0
(60,381)	12.0
(60,382)	3.0
(60,386)	6.0
(60,387)	3.0
(60,391)	3.0
(60,393)	6.0
(60,395)	9.0
(60,423)	3.0
(60,433)	3.0
(61,329)	3.0
(61,330)	18.0
(61,343)	3.0
(61,363)	6.0
(61,370)	6.0
(61,378)	9.0
(61,413)	3.0
(61,433)	3.0
(61,439)	3.0
(62,330)	37.0
