2048 x 2048 sparse matrix, nnz = 7022
(90,697)	3.0
(90,714)	3.0
(90,770)	3.0
(90,814)	15.0
(90,924)	6.0
(91,674)	3.0
(91,681)	9.0
(91,711)	3.0
(92,674)	3.0
(92,675)	3.0
(92,678)	6.0
(92,680)	12.0
(92,703)	3.0
(93,677)	209.0
(93,680)	6.0
(93,694)	6.0
(93,781)	32.0
(93,782)	3.0
(93,786)	9.0
(93,815)	9.0
(94,675)	3.0
(94,680)	18.0
(94,774)	3.0
(94,780)	6.0
(94,831)	3.0
(95,680)	12.0
(95,774)	18.0
(95,783)	3.0
(95,785)	3.0
(95,815)	3.0
(96,680)	33.0
(96,694)	3.0
(96,816)	9.0
(96,826)	9.0
(97,681)	18.0
(97,767)	3.0
(97,772)	6.0
(97,773)	3.0
(97,816)	3.0
(97,844)	6.0
(98,682)	3.0
(98,766)	3.0
(98,772)	3.0
(98,840)	3.0
(98,881)	3.0
(99,674)	6.0
(99,683)	6.0
(99,771)	3.0
(99,823)	9.0
(100,694)	12.0
(100,766)	3.0
(100,822)	3.0
(100,927)	10.0
(101,683)	3.0
(101,710)	3.0
(101,711)	3.0
(101,766)	6.0
(101,771)	18.0
(101,822)	3.0
(101,838)	9.0
(102,683)	3.0
(102,693)	12.0
(102,713)	6.0
(102,718)	3.0
(102,820)	6.0
(102,833)	3.0
(102,834)	3.0
(102,836)	3.0
(102,854)	6.0
(103,682)	12.0
(103,844)	6.0
(103,847)	30.0
(104,682)	3.0
(104,929)	3.0
(105,681)	22.0
(105,692)	3.0
(105,770)	3.0
(105,821)	3.0
(105,826)	46.0
(105,827)	3.0
(105,848)	6.0
(105,873)	6.0
(106,653)	3.0
(106,681)	3.0
(106,691)	3.0
(106,769)	3.0
(106,808)	3.0
(106,831)	3.0
(106,853)	3.0
(107,654)	3.0
(107,655)	9.0
(107,681)	9.0
(107,689)	3.0
(107,690)	3.0
(107,705)	3.0
(107,874)	3.0
(108,681)	12.0
(108,688)	3.0
(108,767)	3.0
(108,929)	3.0
(109,681)	3.0
(109,806)	3.0
(109,841)	3.0
(110,681)	27.0
(110,691)	3.0
(110,755)	12.0
(110,788)	3.0
(111,656)	3.0
(111,682)	3.0
(111,686)	110.0
(111,755)	6.0
(111,765)	3.0
(111,792)	9.0
(111,829)	6.0
(111,859)	6.0
(112,656)	3.0
(112,682)	18.0
(112,683)	6.0
(112,763)	9.0
(112,777)	3.0
(112,788)	3.0
(112,793)	3.0
(112,796)	3.0
(112,828)	9.0
(112,829)	3.0
(113,682)	6.0
(113,684)	27.0
(113,752)	3.0
(113,762)	3.0
(113,771)	6.0
(113,796)	6.0
(113,859)	3.0
(113,931)	3.0
(114,682)	6.0
(114,684)	3.0
(114,695)	9.0
(114,760)	12.0
(114,761)	3.0
(114,826)	3.0
(115,683)	9.0
(115,688)	12.0
(115,720)	9.0
(115,745)	3.0
(115,758)	110.0
(115,759)	21.0
(115,790)	3.0
(116,683)	21.0
(116,691)	6.0
(116,746)	3.0
(116,750)	3.0
(116,756)	15.0
(116,757)	9.0
(116,861)	3.0
(116,862)	103.0
(117,657)	3.0
(117,683)	21.0
(117,691)	3.0
(117,703)	6.0
(117,721)	3.0
(117,755)	3.0
(117,768)	3.0
(117,825)	6.0
(118,657)	13.0
(118,658)	3.0
(118,684)	9.0
(118,722)	6.0
(118,745)	6.0
(118,746)	9.0
(118,753)	6.0
(118,754)	28.0
(118,755)	3.0
(118,771)	3.0
(118,864)	9.0
(118,928)	3.0
(119,658)	12.0
(119,684)	19.0
(119,705)	6.0
(119,723)	9.0
(119,740)	9.0
(119,747)	9.0
(119,752)	6.0
(119,753)	9.0
(119,762)	12.0
(119,764)	3.0
(119,772)	6.0
(119,774)	3.0
(119,782)	3.0
(119,786)	6.0
(119,846)	3.0
(119,865)	3.0
(120,658)	15.0
(120,684)	15.0
(120,723)	3.0
(120,749)	3.0
(120,751)	12.0
(120,759)	9.0
(120,789)	9.0
(121,658)	3.0
(121,725)	3.0
(121,866)	3.0
(122,659)	18.0
(122,685)	3.0
(122,726)	3.0
(122,739)	6.0
(122,755)	6.0
(122,756)	3.0
(122,826)	3.0
(122,877)	3.0
(123,659)	12.0
(123,685)	9.0
(123,739)	9.0
(123,882)	3.0
(124,659)	3.0
(124,660)	22.0
(124,684)	19.0
(124,685)	18.0
(124,721)	6.0
(124,736)	3.0
(124,745)	12.0
(124,746)	3.0
(124,747)	3.0
(124,886)	6.0
(124,904)	3.0
(124,933)	6.0
(125,660)	9.0
(125,684)	16.0
(125,718)	3.0
(125,742)	3.0
(125,759)	6.0
(125,869)	3.0
(125,870)	9.0
(125,871)	3.0
(125,904)	3.0
(126,660)	30.0
(126,673)	6.0
(126,674)	9.0
(126,675)	3.0
(126,676)	3.0
(126,684)	118.0
(126,734)	100.0
(126,735)	9.0
(126,798)	3.0
(126,812)	6.0
(127,660)	45.0
(127,661)	9.0
(127,669)	18.0
(127,671)	12.0
(127,673)	21.0
(127,678)	13.0
(127,679)	12.0
(127,680)	6.0
(127,684)	3.0
(127,708)	21.0
(127,715)	6.0
(127,735)	18.0
(127,873)	3.0
(127,888)	3.0
(127,894)	6.0
(128,661)	6.0
