geometry,time,area_ardida,f
POINT(-10.4099832048661 36.9099762187613),2001-01-01 00:00:00,0.02,1
POINT(-9.50207645026561 38.6845212391169),2001-01-01 00:00:00,0.015,1
POINT(-9.50207645026561 38.7670582168078),2001-01-01 00:00:00,6.435,15
POINT(-9.50207645026561 38.8083267056533),2001-01-01 00:00:00,0.0025,1
POINT(-9.46080796142013 38.6845212391169),2001-01-01 00:00:00,7.5682,13
POINT(-9.46080796142013 38.7257897279623),2001-01-01 00:00:00,8.9975,14
POINT(-9.46080796142013 38.7670582168078),2001-01-01 00:00:00,3.0397,10
POINT(-9.46080796142013 38.8083267056533),2001-01-01 00:00:00,0.1890,4
POINT(-9.46080796142013 38.8495951944988),2001-01-01 00:00:00,17.291,11
POINT(-9.41953947257466 38.6845212391169),2001-01-01 00:00:00,1.4445,13
POINT(-9.41953947257466 38.7257897279623),2001-01-01 00:00:00,2.4025,34
POINT(-9.41953947257466 38.7670582168078),2001-01-01 00:00:00,4.446,10
POINT(-9.41953947257466 38.8083267056533),2001-01-01 00:00:00,2.015,8
POINT(-9.41953947257466 38.8495951944988),2001-01-01 00:00:00,4.0640,16
POINT(-9.41953947257466 38.8908636833443),2001-01-01 00:00:00,32.508,28
POINT(-9.41953947257466 38.9321321721897),2001-01-01 00:00:00,98.0960,59
POINT(-9.41953947257466 38.9734006610352),2001-01-01 00:00:00,6.601,12
POINT(-9.41953947257466 39.0559376387262),2001-01-01 00:00:00,0.375,9
POINT(-9.41953947257466 39.0972061275716),2001-01-01 00:00:00,0.09,4
POINT(-9.41953947257466 39.3448170606445),2001-01-01 00:00:00,1.516,6
POINT(-9.37827098372918 38.6845212391169),2001-01-01 00:00:00,9.2454,42
POINT(-9.37827098372918 38.7257897279623),2001-01-01 00:00:00,14.1281,26
POINT(-9.37827098372918 38.7670582168078),2001-01-01 00:00:00,4.484,29
POINT(-9.37827098372918 38.8083267056533),2001-01-01 00:00:00,4.425,15
POINT(-9.37827098372918 38.8495951944988),2001-01-01 00:00:00,16.025,24
POINT(-9.37827098372918 38.8908636833443),2001-01-01 00:00:00,18.7496,32
POINT(-9.37827098372918 38.9321321721897),2001-01-01 00:00:00,13.6625,27
POINT(-9.37827098372918 38.9734006610352),2001-01-01 00:00:00,0.590,5
POINT(-9.37827098372918 39.0146691498807),2001-01-01 00:00:00,0.11,3
POINT(-9.37827098372918 39.0559376387262),2001-01-01 00:00:00,0.71,3
POINT(-9.37827098372918 39.0972061275716),2001-01-01 00:00:00,0.975,7
POINT(-9.37827098372918 39.1384746164171),2001-01-01 00:00:00,3.605,11
POINT(-9.37827098372918 39.303548571799),2001-01-01 00:00:00,0.002,2
POINT(-9.37827098372918 39.3448170606445),2001-01-01 00:00:00,0.5,1
POINT(-9.33700249488371 38.6845212391169),2001-01-01 00:00:00,4.8912,20
POINT(-9.33700249488371 38.7257897279623),2001-01-01 00:00:00,12.2605,15
POINT(-9.33700249488371 38.7670582168078),2001-01-01 00:00:00,6.0550,34
POINT(-9.33700249488371 38.8083267056533),2001-01-01 00:00:00,25.530,19
POINT(-9.33700249488371 38.8495951944988),2001-01-01 00:00:00,35.140,44
POINT(-9.33700249488371 38.8908636833443),2001-01-01 00:00:00,91.947,12
POINT(-9.33700249488371 38.9321321721897),2001-01-01 00:00:00,5.915,11
POINT(-9.33700249488371 38.9734006610352),2001-01-01 00:00:00,4.345,14
POINT(-9.33700249488371 39.0146691498807),2001-01-01 00:00:00,0.28,4
POINT(-9.33700249488371 39.0559376387262),2001-01-01 00:00:00,0.235,4
POINT(-9.33700249488371 39.0972061275716),2001-01-01 00:00:00,0.02,2
POINT(-9.33700249488371 39.1384746164171),2001-01-01 00:00:00,5.505,13
POINT(-9.33700249488371 39.1797431052626),2001-01-01 00:00:00,9.922,20
POINT(-9.33700249488371 39.2210115941081),2001-01-01 00:00:00,0.326,8
POINT(-9.33700249488371 39.2622800829536),2001-01-01 00:00:00,2.102,3
POINT(-9.33700249488371 39.303548571799),2001-01-01 00:00:00,3.017,9
POINT(-9.33700249488371 39.3448170606445),2001-01-01 00:00:00,1.02,3
POINT(-9.29573400603823 38.6432527502714),2001-01-01 00:00:00,0.02,1
POINT(-9.29573400603823 38.6845212391169),2001-01-01 00:00:00,6.7995,21
POINT(-9.29573400603823 38.7257897279623),2001-01-01 00:00:00,4.9475,28
POINT(-9.29573400603823 38.7670582168078),2001-01-01 00:00:00,15.573,29
POINT(-9.29573400603823 38.8083267056533),2001-01-01 00:00:00,106.376,21
POINT(-9.29573400603823 38.8495951944988),2001-01-01 00:00:00,2.46,8
POINT(-9.29573400603823 38.8908636833443),2001-01-01 00:00:00,75.3692,36
POINT(-9.29573400603823 38.9321321721897),2001-01-01 00:00:00,22.1125,25
POINT(-9.29573400603823 38.9734006610352),2001-01-01 00:00:00,2.4965,12
POINT(-9.29573400603823 39.0146691498807),2001-01-01 00:00:00,1.015,4
POINT(-9.29573400603823 39.0559376387262),2001-01-01 00:00:00,11.095,27
POINT(-9.29573400603823 39.0972061275716),2001-01-01 00:00:00,0.54,5
POINT(-9.29573400603823 39.1384746164171),2001-01-01 00:00:00,1.62,5
POINT(-9.29573400603823 39.1797431052626),2001-01-01 00:00:00,0.702,5
POINT(-9.29573400603823 39.2622800829536),2001-01-01 00:00:00,10.202,14
POINT(-9.29573400603823 39.303548571799),2001-01-01 00:00:00,179.8669,39
POINT(-9.29573400603823 39.38608554949),2001-01-01 00:00:00,3,1
POINT(-9.25446551719276 38.3956418171985),2001-01-01 00:00:00,0.15,1
POINT(-9.25446551719276 38.6019842614259),2001-01-01 00:00:00,0.140,6
POINT(-9.25446551719276 38.6432527502714),2001-01-01 00:00:00,3.169,10
POINT(-9.25446551719276 38.6845212391169),2001-01-01 00:00:00,0.1915,28
POINT(-9.25446551719276 38.7257897279623),2001-01-01 00:00:00,5.2050,37
POINT(-9.25446551719276 38.7670582168078),2001-01-01 00:00:00,7.0595,28
POINT(-9.25446551719276 38.8083267056533),2001-01-01 00:00:00,4.8250,10
POINT(-9.25446551719276 38.8495951944988),2001-01-01 00:00:00,11.035,12
POINT(-9.25446551719276 38.8908636833443),2001-01-01 00:00:00,17.2698,29
POINT(-9.25446551719276 38.9321321721897),2001-01-01 00:00:00,132.573,14
POINT(-9.25446551719276 38.9734006610352),2001-01-01 00:00:00,1.701,4
POINT(-9.25446551719276 39.0146691498807),2001-01-01 00:00:00,8.285,16
POINT(-9.25446551719276 39.0559376387262),2001-01-01 00:00:00,26.080,63
POINT(-9.25446551719276 39.0972061275716),2001-01-01 00:00:00,0.01,1
POINT(-9.25446551719276 39.1384746164171),2001-01-01 00:00:00,4.18,11
POINT(-9.25446551719276 39.1797431052626),2001-01-01 00:00:00,1.541,6
POINT(-9.25446551719276 39.2210115941081),2001-01-01 00:00:00,0.755,3
POINT(-9.25446551719276 39.2622800829536),2001-01-01 00:00:00,4.096,17
POINT(-9.25446551719276 39.303548571799),2001-01-01 00:00:00,34.355,29
POINT(-9.25446551719276 39.3448170606445),2001-01-01 00:00:00,0.575,3
POINT(-9.21319702834728 38.3956418171985),2001-01-01 00:00:00,0.2,1
POINT(-9.21319702834728 38.436910306044),2001-01-01 00:00:00,2,1
POINT(-9.21319702834728 38.4781787948895),2001-01-01 00:00:00,0.075,1
POINT(-9.21319702834728 38.5607157725804),2001-01-01 00:00:00,0.065,4
POINT(-9.21319702834728 38.6019842614259),2001-01-01 00:00:00,0.1344,9
POINT(-9.21319702834728 38.6432527502714),2001-01-01 00:00:00,1.4863,10
POINT(-9.21319702834728 38.7257897279623),2001-01-01 00:00:00,0.089,6
POINT(-9.21319702834728 38.7670582168078),2001-01-01 00:00:00,4.0502,4
POINT(-9.21319702834728 38.8083267056533),2001-01-01 00:00:00,16.2731,24
POINT(-9.21319702834728 38.8495951944988),2001-01-01 00:00:00,14.9411,32
POINT(-9.21319702834728 38.8908636833443),2001-01-01 00:00:00,22.6555,43
POINT(-9.21319702834728 38.9321321721897),2001-01-01 00:00:00,9.128,18
POINT(-9.21319702834728 38.9734006610352),2001-01-01 00:00:00,7.8335,14
POINT(-9.21319702834728 39.0146691498807),2001-01-01 00:00:00,11.545,18
POINT(-9.21319702834728 39.0559376387262),2001-01-01 00:00:00,6.581,16
POINT(-9.21319702834728 39.0972061275716),2001-01-01 00:00:00,19.675,19
POINT(-9.21319702834728 39.1384746164171),2001-01-01 00:00:00,0.5,1
POINT(-9.21319702834728 39.1797431052626),2001-01-01 00:00:00,0.06,3
POINT(-9.21319702834728 39.2210115941081),2001-01-01 00:00:00,1.54,4
POINT(-9.21319702834728 39.2622800829536),2001-01-01 00:00:00,1.604,6
POINT(-9.21319702834728 39.303548571799),2001-01-01 00:00:00,12.259,30
POINT(-9.21319702834728 39.3448170606445),2001-01-01 00:00:00,3.04,3
POINT(-9.21319702834728 39.38608554949),2001-01-01 00:00:00,0.015,2
POINT(-9.21319702834728 39.4273540383355),2001-01-01 00:00:00,24.788,35
POINT(-9.17192853950178 38.436910306044),2001-01-01 00:00:00,10.01,9
POINT(-9.17192853950178 38.4781787948895),2001-01-01 00:00:00,0.15,1
POINT(-9.17192853950178 38.5607157725804),2001-01-01 00:00:00,2.133,4
POINT(-9.17192853950178 38.6019842614259),2001-01-01 00:00:00,0.104,3
POINT(-9.17192853950178 38.6432527502714),2001-01-01 00:00:00,0.3252,24
POINT(-9.17192853950178 38.7670582168078),2001-01-01 00:00:00,12.0791,33
POINT(-9.17192853950178 38.8083267056533),2001-01-01 00:00:00,50.4707,176
POINT(-9.17192853950178 38.8495951944988),2001-01-01 00:00:00,27.235,32
POINT(-9.17192853950178 38.8908636833443),2001-01-01 00:00:00,11.814,21
POINT(-9.17192853950178 38.9321321721897),2001-01-01 00:00:00,17.312,23
POINT(-9.17192853950178 38.9734006610352),2001-01-01 00:00:00,8.539,21
POINT(-9.17192853950178 39.0146691498807),2001-01-01 00:00:00,5.864,12
POINT(-9.17192853950178 39.0559376387262),2001-01-01 00:00:00,1.32,6
POINT(-9.17192853950178 39.0972061275716),2001-01-01 00:00:00,3.48,11
POINT(-9.17192853950178 39.1384746164171),2001-01-01 00:00:00,2.55,2
POINT(-9.17192853950178 39.1797431052626),2001-01-01 00:00:00,0.04,1
POINT(-9.17192853950178 39.2210115941081),2001-01-01 00:00:00,0.5215,4
POINT(-9.17192853950178 39.2622800829536),2001-01-01 00:00:00,2.11,6
POINT(-9.17192853950178 39.303548571799),2001-01-01 00:00:00,4.25,4
POINT(-9.17192853950178 39.3448170606445),2001-01-01 00:00:00,2.615,7
POINT(-9.17192853950178 39.38608554949),2001-01-01 00:00:00,2.8458,30
POINT(-9.17192853950178 39.4273540383355),2001-01-01 00:00:00,4.935,14
POINT(-9.17192853950178 39.4686225271809),2001-01-01 00:00:00,1.70,7
POINT(-9.17192853950178 39.5098910160264),2001-01-01 00:00:00,1.105,4
POINT(-9.1306600506563 38.436910306044),2001-01-01 00:00:00,1.205,12
POINT(-9.1306600506563 38.4781787948895),2001-01-01 00:00:00,2.04,3
POINT(-9.1306600506563 38.5607157725804),2001-01-01 00:00:00,1.0775,15
POINT(-9.1306600506563 38.6019842614259),2001-01-01 00:00:00,19.5976,40
POINT(-9.1306600506563 38.7257897279623),2001-01-01 00:00:00,2,1
POINT(-9.1306600506563 38.7670582168078),2001-01-01 00:00:00,1.9811,16
POINT(-9.1306600506563 38.8083267056533),2001-01-01 00:00:00,11.2352,60
POINT(-9.1306600506563 38.8495951944988),2001-01-01 00:00:00,0.735,4
POINT(-9.1306600506563 38.8908636833443),2001-01-01 00:00:00,17.0016,50
POINT(-9.1306600506563 38.9321321721897),2001-01-01 00:00:00,5.335,19
POINT(-9.1306600506563 38.9734006610352),2001-01-01 00:00:00,16.204,37
POINT(-9.1306600506563 39.0146691498807),2001-01-01 00:00:00,3.179,16
POINT(-9.1306600506563 39.0559376387262),2001-01-01 00:00:00,2.79,16
POINT(-9.1306600506563 39.0972061275716),2001-01-01 00:00:00,2.03,2
POINT(-9.1306600506563 39.1384746164171),2001-01-01 00:00:00,33.465,24
POINT(-9.1306600506563 39.1797431052626),2001-01-01 00:00:00,0.983,4
POINT(-9.1306600506563 39.2210115941081),2001-01-01 00:00:00,1.352,7
POINT(-9.1306600506563 39.2622800829536),2001-01-01 00:00:00,1.5,1
POINT(-9.1306600506563 39.303548571799),2001-01-01 00:00:00,0.57,5
POINT(-9.1306600506563 39.3448170606445),2001-01-01 00:00:00,0.18,2
POINT(-9.1306600506563 39.38608554949),2001-01-01 00:00:00,0.937,9
POINT(-9.1306600506563 39.4273540383355),2001-01-01 00:00:00,1.315,5
POINT(-9.1306600506563 39.4686225271809),2001-01-01 00:00:00,1.205,6
POINT(-9.1306600506563 39.5098910160264),2001-01-01 00:00:00,57.033,42
POINT(-9.08939156181083 38.436910306044),2001-01-01 00:00:00,2.25,5
POINT(-9.08939156181083 38.4781787948895),2001-01-01 00:00:00,1,1
POINT(-9.08939156181083 38.5194472837349),2001-01-01 00:00:00,4.19,7
POINT(-9.08939156181083 38.5607157725804),2001-01-01 00:00:00,1.085,4
POINT(-9.08939156181083 38.6019842614259),2001-01-01 00:00:00,1.2073,13
POINT(-9.08939156181083 38.6432527502714),2001-01-01 00:00:00,0.0729,6
POINT(-9.08939156181083 38.8083267056533),2001-01-01 00:00:00,2.0291,27
POINT(-9.08939156181083 38.8495951944988),2001-01-01 00:00:00,11.6469,48
POINT(-9.08939156181083 38.8908636833443),2001-01-01 00:00:00,11.356,24
POINT(-9.08939156181083 38.9321321721897),2001-01-01 00:00:00,5.4681,22
POINT(-9.08939156181083 38.9734006610352),2001-01-01 00:00:00,0.72,12
POINT(-9.08939156181083 39.0146691498807),2001-01-01 00:00:00,4.345,9
POINT(-9.08939156181083 39.0559376387262),2001-01-01 00:00:00,4.636,18
POINT(-9.08939156181083 39.0972061275716),2001-01-01 00:00:00,3.65,8
POINT(-9.08939156181083 39.1384746164171),2001-01-01 00:00:00,12.395,13
POINT(-9.08939156181083 39.1797431052626),2001-01-01 00:00:00,1.98,7
POINT(-9.08939156181083 39.2210115941081),2001-01-01 00:00:00,2.14,7
POINT(-9.08939156181083 39.303548571799),2001-01-01 00:00:00,0.60,3
POINT(-9.08939156181083 39.3448170606445),2001-01-01 00:00:00,0.046,3
POINT(-9.08939156181083 39.38608554949),2001-01-01 00:00:00,0.7,1
POINT(-9.08939156181083 39.4273540383355),2001-01-01 00:00:00,1.3855,9
POINT(-9.08939156181083 39.5098910160264),2001-01-01 00:00:00,34.295,13
POINT(-9.08939156181083 39.5511595048719),2001-01-01 00:00:00,0.39,6
POINT(-9.08939156181083 39.5924279937174),2001-01-01 00:00:00,1.055,9
POINT(-9.08939156181083 39.6336964825629),2001-01-01 00:00:00,0.02,1
POINT(-9.08939156181083 39.6749649714083),2001-01-01 00:00:00,0.02,1
POINT(-9.04812307296535 38.4781787948895),2001-01-01 00:00:00,0.067,5
POINT(-9.04812307296535 38.5194472837349),2001-01-01 00:00:00,0.4265,5
POINT(-9.04812307296535 38.5607157725804),2001-01-01 00:00:00,21.2302,21
POINT(-9.04812307296535 38.6019842614259),2001-01-01 00:00:00,0.1696,11
POINT(-9.04812307296535 38.6432527502714),2001-01-01 00:00:00,3.5865,20
POINT(-9.04812307296535 38.6845212391169),2001-01-01 00:00:00,1.5,2
POINT(-9.04812307296535 38.8908636833443),2001-01-01 00:00:00,5.7652,9
POINT(-9.04812307296535 38.9321321721897),2001-01-01 00:00:00,7.565,22
POINT(-9.04812307296535 38.9734006610352),2001-01-01 00:00:00,1.61,7
POINT(-9.04812307296535 39.0146691498807),2001-01-01 00:00:00,4.48,11
POINT(-9.04812307296535 39.0559376387262),2001-01-01 00:00:00,8.688,32
POINT(-9.04812307296535 39.0972061275716),2001-01-01 00:00:00,1.68,6
POINT(-9.04812307296535 39.1384746164171),2001-01-01 00:00:00,11.255,15
POINT(-9.04812307296535 39.2210115941081),2001-01-01 00:00:00,0.03,1
POINT(-9.04812307296535 39.2622800829536),2001-01-01 00:00:00,0.01,1
POINT(-9.04812307296535 39.303548571799),2001-01-01 00:00:00,0.002,1
POINT(-9.04812307296535 39.3448170606445),2001-01-01 00:00:00,0.1,1
POINT(-9.04812307296535 39.38608554949),2001-01-01 00:00:00,0.060,3
POINT(-9.04812307296535 39.4273540383355),2001-01-01 00:00:00,0.715,6
POINT(-9.04812307296535 39.4686225271809),2001-01-01 00:00:00,2.052,3
POINT(-9.04812307296535 39.5098910160264),2001-01-01 00:00:00,0.655,4
POINT(-9.04812307296535 39.5924279937174),2001-01-01 00:00:00,0.015,2
POINT(-9.00685458411988 37.0337816852977),2001-01-01 00:00:00,0.035,1
