geometry,time,area_ardida,f
POINT(-10.4925201825571 36.9099762187613),2001-01-01 00:00:00,0.02,1
POINT(-9.50207645026561 38.2305678618166),2001-01-01 00:00:00,2.425,4
POINT(-9.50207645026561 38.5607157725804),2001-01-01 00:00:00,394.9342,746
POINT(-9.50207645026561 38.8908636833443),2001-01-01 00:00:00,678.8091,675
POINT(-9.50207645026561 39.2210115941081),2001-01-01 00:00:00,284.5789,218
POINT(-9.17192853950178 36.9099762187613),2001-01-01 00:00:00,0.535,2
POINT(-9.17192853950178 37.2401241295251),2001-01-01 00:00:00,0.005,1
POINT(-9.17192853950178 37.9004199510528),2001-01-01 00:00:00,0.0351,3
POINT(-9.17192853950178 38.2305678618166),2001-01-01 00:00:00,36.9295,98
POINT(-9.17192853950178 38.5607157725804),2001-01-01 00:00:00,217.4786,735
POINT(-9.17192853950178 38.8908636833443),2001-01-01 00:00:00,289.7955,599
POINT(-9.17192853950178 39.2210115941081),2001-01-01 00:00:00,318.6501,335
POINT(-9.17192853950178 39.5511595048719),2001-01-01 00:00:00,39.7561,107
POINT(-9.17192853950178 39.8813074156357),2001-01-01 00:00:00,5.4336,23
POINT(-9.17192853950178 40.2114553263995),2001-01-01 00:00:00,0.0401,4
POINT(-9.17192853950178 41.5320469694549),2001-01-01 00:00:00,75.9580001,63
POINT(-8.84178062873798 36.9099762187613),2001-01-01 00:00:00,32.808,13
POINT(-8.84178062873798 37.2401241295251),2001-01-01 00:00:00,1456.4015,35
POINT(-8.84178062873798 37.5702720402889),2001-01-01 00:00:00,19.6411,23
POINT(-8.84178062873798 37.9004199510528),2001-01-01 00:00:00,490.5877,56
POINT(-8.84178062873798 38.2305678618166),2001-01-01 00:00:00,28.6521,22
POINT(-8.84178062873798 38.5607157725804),2001-01-01 00:00:00,144.3345,53
POINT(-8.84178062873798 38.8908636833443),2001-01-01 00:00:00,205.5758,121
POINT(-8.84178062873798 39.2210115941081),2001-01-01 00:00:00,334.0769,198
POINT(-8.84178062873798 39.5511595048719),2001-01-01 00:00:00,439.6443,224
POINT(-8.84178062873798 39.8813074156357),2001-01-01 00:00:00,65.2025,127
POINT(-8.84178062873798 40.2114553263995),2001-01-01 00:00:00,23.6290,93
POINT(-8.84178062873798 40.5416032371634),2001-01-01 00:00:00,23.0020,197
POINT(-8.84178062873798 40.8717511479272),2001-01-01 00:00:00,368.1655,1462
POINT(-8.84178062873798 41.201899058691),2001-01-01 00:00:00,826.20,960
POINT(-8.84178062873798 41.5320469694549),2001-01-01 00:00:00,2189.26382312,891
POINT(-8.84178062873798 41.8621948802187),2001-01-01 00:00:00,1326.54280201001,356
POINT(-8.51163271797415 36.9099762187613),2001-01-01 00:00:00,1398.778,31
POINT(-8.51163271797415 37.2401241295251),2001-01-01 00:00:00,216.2371,36
POINT(-8.51163271797415 37.5702720402889),2001-01-01 00:00:00,51.5004,12
POINT(-8.51163271797415 37.9004199510528),2001-01-01 00:00:00,178.0121,14
POINT(-8.51163271797415 38.2305678618166),2001-01-01 00:00:00,1594.5256,10
POINT(-8.51163271797415 38.5607157725804),2001-01-01 00:00:00,32.0003,9
POINT(-8.51163271797415 38.8908636833443),2001-01-01 00:00:00,67.2265,18
POINT(-8.51163271797415 39.2210115941081),2001-01-01 00:00:00,269.7414,170
POINT(-8.51163271797415 39.5511595048719),2001-01-01 00:00:00,2882.20712,161
POINT(-8.51163271797415 39.8813074156357),2001-01-01 00:00:00,659.4013,256
POINT(-8.51163271797415 40.2114553263995),2001-01-01 00:00:00,41.3233,219
POINT(-8.51163271797415 40.5416032371634),2001-01-01 00:00:00,641.3538,549
POINT(-8.51163271797415 40.8717511479272),2001-01-01 00:00:00,2255.145,1931
POINT(-8.51163271797415 41.201899058691),2001-01-01 00:00:00,2108.99,3536
POINT(-8.51163271797415 41.5320469694549),2001-01-01 00:00:00,1648.250501000001,1242
POINT(-8.51163271797415 41.8621948802187),2001-01-01 00:00:00,901.9093011,324
POINT(-8.18148480721032 36.9099762187613),2001-01-01 00:00:00,28.502,37
POINT(-8.18148480721032 37.2401241295251),2001-01-01 00:00:00,89.51,7
POINT(-8.18148480721032 37.5702720402889),2001-01-01 00:00:00,854.0002,13
POINT(-8.18148480721032 37.9004199510528),2001-01-01 00:00:00,156.5002,5
POINT(-8.18148480721032 38.2305678618166),2001-01-01 00:00:00,135.2005,17
POINT(-8.18148480721032 38.5607157725804),2001-01-01 00:00:00,12.4003,7
POINT(-8.18148480721032 38.8908636833443),2001-01-01 00:00:00,295.0004,18
POINT(-8.18148480721032 39.2210115941081),2001-01-01 00:00:00,92.8570,70
POINT(-8.18148480721032 39.5511595048719),2001-01-01 00:00:00,22.9334,46
POINT(-8.18148480721032 39.8813074156357),2001-01-01 00:00:00,2629.0078,91
POINT(-8.18148480721032 40.2114553263995),2001-01-01 00:00:00,442.4175,403
POINT(-8.18148480721032 40.5416032371634),2001-01-01 00:00:00,3964.1175,563
POINT(-8.18148480721032 40.8717511479272),2001-01-01 00:00:00,4257.9515,699
POINT(-8.18148480721032 41.201899058691),2001-01-01 00:00:00,2491.683,1433
POINT(-8.18148480721032 41.5320469694549),2001-01-01 00:00:00,2975.754,498
POINT(-8.18148480721032 41.8621948802187),2001-01-01 00:00:00,42.69,14
POINT(-7.8513368964465 36.9099762187613),2001-01-01 00:00:00,117.345,35
POINT(-7.8513368964465 37.2401241295251),2001-01-01 00:00:00,25.0001,11
POINT(-7.8513368964465 37.5702720402889),2001-01-01 00:00:00,167.9001,12
POINT(-7.8513368964465 37.9004199510528),2001-01-01 00:00:00,90.0,7
POINT(-7.8513368964465 38.2305678618166),2001-01-01 00:00:00,466.2401,8
POINT(-7.8513368964465 38.5607157725804),2001-01-01 00:00:00,51.0001,2
POINT(-7.8513368964465 38.8908636833443),2001-01-01 00:00:00,12.0002,3
POINT(-7.8513368964465 39.2210115941081),2001-01-01 00:00:00,2076.5760,17
POINT(-7.8513368964465 39.5511595048719),2001-01-01 00:00:00,109.7618,52
POINT(-7.8513368964465 39.8813074156357),2001-01-01 00:00:00,8508.527,74
POINT(-7.8513368964465 40.2114553263995),2001-01-01 00:00:00,6395.8241,308
POINT(-7.8513368964465 40.5416032371634),2001-01-01 00:00:00,4235.8067,447
POINT(-7.8513368964465 40.8717511479272),2001-01-01 00:00:00,942.5140,535
POINT(-7.8513368964465 41.201899058691),2001-01-01 00:00:00,4213.447,826
POINT(-7.8513368964465 41.5320469694549),2001-01-01 00:00:00,2973.477,382
POINT(-7.8513368964465 41.8621948802187),2001-01-01 00:00:00,158.30,13
POINT(-7.52118898568267 36.9099762187613),2001-01-01 00:00:00,0.025,2
POINT(-7.52118898568267 37.2401241295251),2001-01-01 00:00:00,70.001,3
POINT(-7.52118898568267 37.5702720402889),2001-01-01 00:00:00,45.5001,6
POINT(-7.52118898568267 37.9004199510528),2001-01-01 00:00:00,241,4
POINT(-7.52118898568267 38.2305678618166),2001-01-01 00:00:00,294.0001,4
POINT(-7.52118898568267 38.5607157725804),2001-01-01 00:00:00,347.2057,8
POINT(-7.52118898568267 39.2210115941081),2001-01-01 00:00:00,215.8891,26
POINT(-7.52118898568267 39.5511595048719),2001-01-01 00:00:00,30.655,30
POINT(-7.52118898568267 39.8813074156357),2001-01-01 00:00:00,1605.363,170
POINT(-7.52118898568267 40.2114553263995),2001-01-01 00:00:00,2127.018,129
POINT(-7.52118898568267 40.5416032371634),2001-01-01 00:00:00,6194.6532,226
POINT(-7.52118898568267 40.8717511479272),2001-01-01 00:00:00,2157.51,323
POINT(-7.52118898568267 41.201899058691),2001-01-01 00:00:00,1834.25,485
POINT(-7.52118898568267 41.5320469694549),2001-01-01 00:00:00,1880.268,329
POINT(-7.19104107491884 37.9004199510528),2001-01-01 00:00:00,289.7001,9
POINT(-7.19104107491884 38.5607157725804),2001-01-01 00:00:00,94.9001,2
POINT(-7.19104107491884 38.8908636833443),2001-01-01 00:00:00,52.5625,2
POINT(-7.19104107491884 39.5511595048719),2001-01-01 00:00:00,2411.152,13
POINT(-7.19104107491884 39.8813074156357),2001-01-01 00:00:00,412.8625,67
POINT(-7.19104107491884 40.2114553263995),2001-01-01 00:00:00,2211.372,85
POINT(-7.19104107491884 40.5416032371634),2001-01-01 00:00:00,3155.002,127
POINT(-7.19104107491884 40.8717511479272),2001-01-01 00:00:00,4410.354,263
POINT(-7.19104107491884 41.201899058691),2001-01-01 00:00:00,1851.49,229
POINT(-7.19104107491884 41.5320469694549),2001-01-01 00:00:00,793.224,219
POINT(-7.19104107491884 41.8621948802187),2001-01-01 00:00:00,121.11,65
POINT(-6.86089316415502 40.2114553263995),2001-01-01 00:00:00,34.5,8
POINT(-6.86089316415502 40.5416032371634),2001-01-01 00:00:00,96.01,14
POINT(-6.86089316415502 40.8717511479272),2001-01-01 00:00:00,217.895,64
POINT(-6.86089316415502 41.201899058691),2001-01-01 00:00:00,3956.527,127
