geometry,time,area_ardida,f
POINT(-9.17192853950178 39.4686225271809),2001-01-01 00:00:00,1,1
POINT(-8.84178062873798 40.1289183487086),2001-01-01 00:00:00,0.0001,1
POINT(-8.759243651047 41.6971209248368),2001-01-01 00:00:00,2,1
POINT(-8.51163271797415 40.1289183487086),2001-01-01 00:00:00,0.003,1
POINT(-8.51163271797415 40.2939923040905),2001-01-01 00:00:00,0.01,1
POINT(-8.51163271797415 40.6241402148543),2001-01-01 00:00:00,0.1,1
POINT(-8.34655876259222 40.6241402148543),2001-01-01 00:00:00,0.02,1
POINT(-8.18148480721032 40.6241402148543),2001-01-01 00:00:00,0.4,1
POINT(-8.09894782951935 40.5416032371634),2001-01-01 00:00:00,0.01,1
POINT(-8.0164108518284 40.4590662594724),2001-01-01 00:00:00,1,1
POINT(-8.0164108518284 40.6241402148543),2001-01-01 00:00:00,0.0001,1
POINT(-7.93387387413745 38.1480308841256),2001-01-01 00:00:00,0.0001,1
POINT(-7.93387387413745 40.6241402148543),2001-01-01 00:00:00,0.29,2
POINT(-7.93387387413745 40.9542881256182),2001-01-01 00:00:00,2.0001,2
POINT(-7.8513368964465 40.4590662594724),2001-01-01 00:00:00,1.1,1
POINT(-7.76879991875552 40.7892141702362),2001-01-01 00:00:00,0.05,1
POINT(-7.35611503030074 41.3669730140729),2001-01-01 00:00:00,0.01,1
POINT(-7.02596711953692 41.284436036382),2001-01-01 00:00:00,1,1
POINT(-6.94343014184597 41.5320469694549),2001-01-01 00:00:00,0.1,1
POINT(-9.50207645026561 38.7257897279623),2001-02-01 00:00:00,0.002,1
POINT(-9.41953947257466 38.7257897279623),2001-02-01 00:00:00,0.002,1
POINT(-9.41953947257466 38.8908636833443),2001-02-01 00:00:00,0.5,1
POINT(-9.41953947257466 38.9734006610352),2001-02-01 00:00:00,0.02,1
POINT(-9.33700249488371 38.8908636833443),2001-02-01 00:00:00,4.59,6
POINT(-9.33700249488371 38.9734006610352),2001-02-01 00:00:00,0.01,1
POINT(-9.25446551719276 38.4781787948895),2001-02-01 00:00:00,0.075,1
POINT(-9.25446551719276 38.8083267056533),2001-02-01 00:00:00,0.0015,1
POINT(-9.25446551719276 38.8908636833443),2001-02-01 00:00:00,1.01,3
POINT(-9.25446551719276 38.9734006610352),2001-02-01 00:00:00,3,2
POINT(-9.17192853950178 38.3956418171985),2001-02-01 00:00:00,0.30,3
