geometry,time,area_ardida,f
POINT(-9.17192853950178 39.2210115941081),2001-01-01 00:00:00,1,1
POINT(-8.84178062873798 39.8813074156357),2001-01-01 00:00:00,0.0001,1
POINT(-8.84178062873798 41.5320469694549),2001-01-01 00:00:00,2,1
POINT(-8.51163271797415 39.8813074156357),2001-01-01 00:00:00,0.003,1
POINT(-8.51163271797415 40.2114553263995),2001-01-01 00:00:00,0.01,1
POINT(-8.51163271797415 40.5416032371634),2001-01-01 00:00:00,0.12,2
POINT(-8.18148480721032 37.9004199510528),2001-01-01 00:00:00,0.0001,1
POINT(-8.18148480721032 40.2114553263995),2001-01-01 00:00:00,1,1
POINT(-8.18148480721032 40.5416032371634),2001-01-01 00:00:00,0.7001,5
POINT(-8.18148480721032 40.8717511479272),2001-01-01 00:00:00,2.0001,2
POINT(-7.8513368964465 40.2114553263995),2001-01-01 00:00:00,1.1,1
POINT(-7.8513368964465 40.5416032371634),2001-01-01 00:00:00,0.05,1
POINT(-7.52118898568267 41.201899058691),2001-01-01 00:00:00,0.01,1
POINT(-7.19104107491884 41.201899058691),2001-01-01 00:00:00,1,1
POINT(-7.19104107491884 41.5320469694549),2001-01-01 00:00:00,0.1,1
POINT(-9.50207645026561 38.2305678618166),2001-02-01 00:00:00,0.075,1
POINT(-9.50207645026561 38.5607157725804),2001-02-01 00:00:00,0.0055,3
POINT(-9.50207645026561 38.8908636833443),2001-02-01 00:00:00,9.13,14
POINT(-9.17192853950178 38.2305678618166),2001-02-01 00:00:00,1.30,4
POINT(-9.17192853950178 38.5607157725804),2001-02-01 00:00:00,0.001,1
POINT(-9.17192853950178 38.8908636833443),2001-02-01 00:00:00,0.07,1
POINT(-9.17192853950178 39.2210115941081),2001-02-01 00:00:00,1.52,3
POINT(-9.17192853950178 39.5511595048719),2001-02-01 00:00:00,0.2003,5
POINT(-9.17192853950178 41.5320469694549),2001-02-01 00:00:00,0.2,2
POINT(-8.84178062873798 36.9099762187613),2001-02-01 00:00:00,0.102,2
POINT(-8.84178062873798 37.2401241295251),2001-02-01 00:00:00,0.0001,1
POINT(-8.84178062873798 37.5702720402889),2001-02-01 00:00:00,0.05,1
POINT(-8.84178062873798 37.9004199510528),2001-02-01 00:00:00,0.0001,1
POINT(-8.84178062873798 38.2305678618166),2001-02-01 00:00:00,0.0001,1
POINT(-8.84178062873798 38.8908636833443),2001-02-01 00:00:00,0.077,3
POINT(-8.84178062873798 39.2210115941081),2001-02-01 00:00:00,0.002,1
POINT(-8.84178062873798 39.5511595048719),2001-02-01 00:00:00,3.0901,6
POINT(-8.84178062873798 39.8813074156357),2001-02-01 00:00:00,0.7,1
POINT(-8.84178062873798 40.5416032371634),2001-02-01 00:00:00,0.5602,6
POINT(-8.84178062873798 40.8717511479272),2001-02-01 00:00:00,8.56,43
POINT(-8.84178062873798 41.201899058691),2001-02-01 00:00:00,4.46,10
POINT(-8.84178062873798 41.5320469694549),2001-02-01 00:00:00,45.18,26
POINT(-8.84178062873798 41.8621948802187),2001-02-01 00:00:00,40.66,16
POINT(-8.51163271797415 39.5511595048719),2001-02-01 00:00:00,1.5001,3
POINT(-8.51163271797415 39.8813074156357),2001-02-01 00:00:00,0.14,3
POINT(-8.51163271797415 40.2114553263995),2001-02-01 00:00:00,0.3901,3
POINT(-8.51163271797415 40.5416032371634),2001-02-01 00:00:00,44.40,23
POINT(-8.51163271797415 40.8717511479272),2001-02-01 00:00:00,2.69,18
POINT(-8.51163271797415 41.201899058691),2001-02-01 00:00:00,9.97,40
POINT(-8.51163271797415 41.5320469694549),2001-02-01 00:00:00,13.51,31
POINT(-8.51163271797415 41.8621948802187),2001-02-01 00:00:00,15.18,11
POINT(-8.18148480721032 39.2210115941081),2001-02-01 00:00:00,2.55,3
POINT(-8.18148480721032 39.5511595048719),2001-02-01 00:00:00,0.33,3
POINT(-8.18148480721032 39.8813074156357),2001-02-01 00:00:00,4.35,3
POINT(-8.18148480721032 40.2114553263995),2001-02-01 00:00:00,0.9,2
POINT(-8.18148480721032 40.5416032371634),2001-02-01 00:00:00,4.4801,10
POINT(-8.18148480721032 40.8717511479272),2001-02-01 00:00:00,3.15,11
POINT(-8.18148480721032 41.201899058691),2001-02-01 00:00:00,8.34,17
POINT(-8.18148480721032 41.5320469694549),2001-02-01 00:00:00,145.50,21
POINT(-8.18148480721032 41.8621948802187),2001-02-01 00:00:00,0.03,1
POINT(-7.8513368964465 40.2114553263995),2001-02-01 00:00:00,0.5,2
POINT(-7.8513368964465 40.5416032371634),2001-02-01 00:00:00,0.5,1
POINT(-7.8513368964465 40.8717511479272),2001-02-01 00:00:00,8.0601,6
POINT(-7.8513368964465 41.201899058691),2001-02-01 00:00:00,3.10,9
POINT(-7.8513368964465 41.5320469694549),2001-02-01 00:00:00,3.81,5
POINT(-7.8513368964465 41.8621948802187),2001-02-01 00:00:00,77,2
POINT(-7.52118898568267 39.2210115941081),2001-02-01 00:00:00,0.0002,2
POINT(-7.52118898568267 39.5511595048719),2001-02-01 00:00:00,1,1
POINT(-7.52118898568267 39.8813074156357),2001-02-01 00:00:00,0.01,1
POINT(-7.52118898568267 40.2114553263995),2001-02-01 00:00:00,2,2
POINT(-7.52118898568267 40.5416032371634),2001-02-01 00:00:00,1.0,2
POINT(-7.52118898568267 40.8717511479272),2001-02-01 00:00:00,0.02,1
POINT(-7.52118898568267 41.201899058691),2001-02-01 00:00:00,0.30,4
POINT(-7.52118898568267 41.5320469694549),2001-02-01 00:00:00,0.02,2
POINT(-7.19104107491884 39.8813074156357),2001-02-01 00:00:00,0.02,1
POINT(-7.19104107491884 40.2114553263995),2001-02-01 00:00:00,1.5,1
POINT(-7.19104107491884 40.8717511479272),2001-02-01 00:00:00,5.01,2
POINT(-7.19104107491884 41.5320469694549),2001-02-01 00:00:00,0.1,1
POINT(-7.19104107491884 41.8621948802187),2001-02-01 00:00:00,25.71,3
POINT(-6.86089316415502 40.8717511479272),2001-02-01 00:00:00,0.01,1
POINT(-6.86089316415502 41.201899058691),2001-02-01 00:00:00,0.5,1
POINT(-6.86089316415502 41.5320469694549),2001-02-01 00:00:00,0.1,1
POINT(-6.53074525339119 41.201899058691),2001-02-01 00:00:00,1.5,2
POINT(-9.50207645026561 39.2210115941081),2001-03-01 00:00:00,0.1,1
POINT(-9.17192853950178 38.5607157725804),2001-03-01 00:00:00,0.085,2
POINT(-9.17192853950178 38.8908636833443),2001-03-01 00:00:00,0.001,1
POINT(-8.84178062873798 38.2305678618166),2001-03-01 00:00:00,4,1
POINT(-8.84178062873798 39.5511595048719),2001-03-01 00:00:00,0.0001,1
POINT(-8.84178062873798 40.5416032371634),2001-03-01 00:00:00,0.01,1
POINT(-8.51163271797415 39.8813074156357),2001-03-01 00:00:00,0.5,1
POINT(-8.51163271797415 40.5416032371634),2001-03-01 00:00:00,0.23,6
POINT(-8.18148480721032 39.8813074156357),2001-03-01 00:00:00,1.1,1
POINT(-8.18148480721032 40.2114553263995),2001-03-01 00:00:00,1.6,2
POINT(-8.18148480721032 40.5416032371634),2001-03-01 00:00:00,3.6002,9
POINT(-7.8513368964465 40.5416032371634),2001-03-01 00:00:00,0.4,1
POINT(-7.8513368964465 40.8717511479272),2001-03-01 00:00:00,0.05,1
POINT(-7.8513368964465 41.201899058691),2001-03-01 00:00:00,0.01,1
POINT(-9.50207645026561 38.5607157725804),2001-04-01 00:00:00,0.2454,6
POINT(-9.50207645026561 38.8908636833443),2001-04-01 00:00:00,7.1025,16
POINT(-9.50207645026561 39.2210115941081),2001-04-01 00:00:00,0.59,3
POINT(-9.17192853950178 36.9099762187613),2001-04-01 00:00:00,0.5,1
POINT(-9.17192853950178 38.2305678618166),2001-04-01 00:00:00,1.3635,9
POINT(-9.17192853950178 38.5607157725804),2001-04-01 00:00:00,0.335,5
POINT(-9.17192853950178 38.8908636833443),2001-04-01 00:00:00,0.05,3
POINT(-9.17192853950178 39.2210115941081),2001-04-01 00:00:00,0.182,5
POINT(-9.17192853950178 39.5511595048719),2001-04-01 00:00:00,2.6102,6
POINT(-9.17192853950178 39.8813074156357),2001-04-01 00:00:00,5.0003,4
POINT(-9.17192853950178 40.2114553263995),2001-04-01 00:00:00,0.02,1
POINT(-9.17192853950178 41.5320469694549),2001-04-01 00:00:00,2.50,12
POINT(-8.84178062873798 37.2401241295251),2001-04-01 00:00:00,1.215,2
POINT(-8.84178062873798 37.5702720402889),2001-04-01 00:00:00,0.0004,4
POINT(-8.84178062873798 37.9004199510528),2001-04-01 00:00:00,2.0602,6
POINT(-8.84178062873798 38.2305678618166),2001-04-01 00:00:00,8.52,5
POINT(-8.84178062873798 38.5607157725804),2001-04-01 00:00:00,9.507,3
POINT(-8.84178062873798 38.8908636833443),2001-04-01 00:00:00,2.15,3
POINT(-8.84178062873798 39.2210115941081),2001-04-01 00:00:00,0.226,7
POINT(-8.84178062873798 39.5511595048719),2001-04-01 00:00:00,4.2021,10
POINT(-8.84178062873798 39.8813074156357),2001-04-01 00:00:00,5.54,7
POINT(-8.84178062873798 40.2114553263995),2001-04-01 00:00:00,1.52,5
POINT(-8.84178062873798 40.5416032371634),2001-04-01 00:00:00,1.545,8
POINT(-8.84178062873798 40.8717511479272),2001-04-01 00:00:00,12.49,63
POINT(-8.84178062873798 41.201899058691),2001-04-01 00:00:00,28.68,38
POINT(-8.84178062873798 41.5320469694549),2001-04-01 00:00:00,72.00,45
POINT(-8.84178062873798 41.8621948802187),2001-04-01 00:00:00,4.16,10
POINT(-8.51163271797415 37.2401241295251),2001-04-01 00:00:00,0.001,1
POINT(-8.51163271797415 37.5702720402889),2001-04-01 00:00:00,0.0001,1
POINT(-8.51163271797415 37.9004199510528),2001-04-01 00:00:00,0.5001,2
POINT(-8.51163271797415 38.2305678618166),2001-04-01 00:00:00,0.0053,2
POINT(-8.51163271797415 39.2210115941081),2001-04-01 00:00:00,63.2861,24
POINT(-8.51163271797415 39.5511595048719),2001-04-01 00:00:00,2.920,9
POINT(-8.51163271797415 39.8813074156357),2001-04-01 00:00:00,3.5073,12
POINT(-8.51163271797415 40.2114553263995),2001-04-01 00:00:00,1.2822,13
POINT(-8.51163271797415 40.5416032371634),2001-04-01 00:00:00,17.5401,18
POINT(-8.51163271797415 40.8717511479272),2001-04-01 00:00:00,20.21,64
POINT(-8.51163271797415 41.201899058691),2001-04-01 00:00:00,69.72,141
POINT(-8.51163271797415 41.5320469694549),2001-04-01 00:00:00,30.66,59
POINT(-8.51163271797415 41.8621948802187),2001-04-01 00:00:00,119.52,7
POINT(-8.18148480721032 36.9099762187613),2001-04-01 00:00:00,0.5,1
POINT(-8.18148480721032 38.2305678618166),2001-04-01 00:00:00,0.5,1
POINT(-8.18148480721032 38.8908636833443),2001-04-01 00:00:00,0.0001,1
POINT(-8.18148480721032 39.2210115941081),2001-04-01 00:00:00,0.003,1
POINT(-8.18148480721032 39.5511595048719),2001-04-01 00:00:00,1.060,4
POINT(-8.18148480721032 39.8813074156357),2001-04-01 00:00:00,3.935,7
POINT(-8.18148480721032 40.2114553263995),2001-04-01 00:00:00,4.1105,27
POINT(-8.18148480721032 40.5416032371634),2001-04-01 00:00:00,4.4892,23
POINT(-8.18148480721032 40.8717511479272),2001-04-01 00:00:00,5.2301,13
POINT(-8.18148480721032 41.201899058691),2001-04-01 00:00:00,28.95,44
POINT(-8.18148480721032 41.5320469694549),2001-04-01 00:00:00,16.29,14
POINT(-7.8513368964465 36.9099762187613),2001-04-01 00:00:00,0.2,1
POINT(-7.8513368964465 38.8908636833443),2001-04-01 00:00:00,0.0001,1
POINT(-7.8513368964465 39.5511595048719),2001-04-01 00:00:00,0.53,3
POINT(-7.8513368964465 39.8813074156357),2001-04-01 00:00:00,17.55,5
POINT(-7.8513368964465 40.2114553263995),2001-04-01 00:00:00,13.191,12
POINT(-7.8513368964465 40.5416032371634),2001-04-01 00:00:00,5.1802,13
POINT(-7.8513368964465 40.8717511479272),2001-04-01 00:00:00,39.9621,15
POINT(-7.8513368964465 41.201899058691),2001-04-01 00:00:00,9.10,23
