geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
17;VIANA DO CASTELO;01/01/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;59
7;COIMBRA;01/01/2008 00:00;EN - Estrada Nacional;Nevoeiro;2;0;0;1
16;SETUBAL;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;4
11;LEIRIA;01/01/2010 00:00;IC - Itinerário Complementar;Chuva;2;1;0;1
9;FARO;01/01/2009 00:00;EN - Estrada Nacional;Chuva;0;3;2;1
11;LEIRIA;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
4;BRAGA;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;4
16;SETUBAL;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;1;0;2
14;PORTO;01/01/2012 00:00;EN - Estrada Nacional;NÃO DEFINIDO;2;0;0;1
16;SETUBAL;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;4
2;AVEIRO;01/01/2011 00:00;EN - Estrada Nacional;NÃO DEFINIDO;2;0;0;1
9;FARO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;2;1;0;1
13;PORTALEGRE;01/01/2010 00:00;IP- Itinerário Principal;Chuva;1;0;0;4
11;LEIRIA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;13
8;EVORA;01/01/2010 00:00;IP- Itinerário Principal;Chuva;2;0;0;1
4;BRAGA;01/01/2009 00:00;EN - Estrada Nacional;Chuva;4;0;0;9
12;LISBOA;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;4
2;AVEIRO;01/01/2009 00:00;A  - Auto-Estrada;Chuva;6;0;1;1
3;BEJA;01/01/2010 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
16;SETUBAL;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;1;1
12;LISBOA;01/01/2011 00:00;A  - Auto-Estrada;Chuva;4;0;0;2
5;BRAGANCA;01/01/2011 00:00;EN - Estrada Nacional;Neve;1;0;0;1
12;LISBOA;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;8
5;BRAGANCA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;2
15;SANTAREM;01/01/2010 00:00;A  - Auto-Estrada;Chuva;0;1;0;1
2;AVEIRO;01/01/2012 00:00;A  - Auto-Estrada;Chuva;3;0;0;1
14;PORTO;01/01/2011 00:00;A  - Auto-Estrada;Chuva;3;0;0;8
8;EVORA;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;10
7;COIMBRA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;54
16;SETUBAL;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;3
16;SETUBAL;01/01/2008 00:00;ER - Estrada Regional;Bom tempo;2;0;0;2
18;VILA REAL;01/01/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;22
9;FARO;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;2
5;BRAGANCA;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;1;0;1
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;2;1;1
11;LEIRIA;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;1
5;BRAGANCA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;2
11;LEIRIA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;6
17;VIANA DO CASTELO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;3;1;1;1
3;BEJA;01/01/2008 00:00;IC - Itinerário Complementar;Bom tempo;3;0;0;1
14;PORTO;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;6;1;0;1
4;BRAGA;01/01/2008 00:00;EN - Estrada Nacional;Chuva;1;1;0;2
17;VIANA DO CASTELO;01/01/2007 00:00;EN - Estrada Nacional;Chuva;3;0;0;5
6;CASTELO BRANCO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;14
16;SETUBAL;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;5
18;VILA REAL;01/01/2009 00:00;IP- Itinerário Principal;Bom tempo;2;0;0;5
8;EVORA;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;2
11;LEIRIA;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;1;1
11;LEIRIA;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;1;1;0;1
11;LEIRIA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;3;1;1
6;CASTELO BRANCO;01/01/2009 00:00;A  - Auto-Estrada;Chuva;1;0;0;8
3;BEJA;01/01/2007 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;3
16;SETUBAL;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;1;1
18;VILA REAL;01/01/2009 00:00;A  - Auto-Estrada;Chuva;1;0;0;8
8;EVORA;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;4;1;0;1
5;BRAGANCA;01/01/2010 00:00;IP- Itinerário Principal;Bom tempo;5;0;0;1
4;BRAGA;01/01/2012 00:00;EN - Estrada Nacional;Chuva;0;0;1;2
15;SANTAREM;01/01/2007 00:00;EN - Estrada Nacional;Chuva;6;0;0;1
11;LEIRIA;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;5;0;0;1
14;PORTO;01/01/2012 00:00;EN - Estrada Nacional;Chuva;2;0;0;21
12;LISBOA;01/01/2010 00:00;EN - Estrada Nacional;Vento Forte;1;0;0;1
2;AVEIRO;01/01/2011 00:00;EN - Estrada Nacional;Chuva;2;0;0;9
13;PORTALEGRE;01/01/2009 00:00;EN - Estrada Nacional;Chuva;1;0;0;5
16;SETUBAL;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;5;0;0;3
17;VIANA DO CASTELO;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;32
8;EVORA;01/01/2009 00:00;EN - Estrada Nacional;Chuva;2;0;0;8
3;BEJA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;4
11;LEIRIA;01/01/2008 00:00;IC - Itinerário Complementar;Bom tempo;1;1;0;1
5;BRAGANCA;01/01/2010 00:00;IP- Itinerário Principal;Bom tempo;1;1;0;1
12;LISBOA;01/01/2011 00:00;A  - Auto-Estrada;Chuva;7;0;0;1
12;LISBOA;01/01/2011 00:00;EN - Estrada Nacional;Chuva;5;0;0;1
6;CASTELO BRANCO;01/01/2009 00:00;IC - Itinerário Complementar;Chuva;1;0;0;1
16;SETUBAL;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;1;2
2;AVEIRO;01/01/2012 00:00;A  - Auto-Estrada;NÃO DEFINIDO;3;0;0;1
16;SETUBAL;01/01/2008 00:00;IC - Itinerário Complementar;Bom tempo;1;1;0;1
9;FARO;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;6
3;BEJA;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;5
8;EVORA;01/01/2008 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;4
11;LEIRIA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;4;2;0;1
13;PORTALEGRE;01/01/2008 00:00;IP- Itinerário Principal;Bom tempo;2;0;0;1
4;BRAGA;01/01/2008 00:00;EN - Estrada Nacional;Chuva;5;0;0;3
10;GUARDA;01/01/2010 00:00;EN - Estrada Nacional;Neve;1;0;0;1
19;VISEU;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
16;SETUBAL;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;3
15;SANTAREM;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;12;4;0;1
11;LEIRIA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;1
17;VIANA DO CASTELO;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;9
11;LEIRIA;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;2
8;EVORA;01/01/2008 00:00;A  - Auto-Estrada;Chuva;2;0;0;3
13;PORTALEGRE;01/01/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
12;LISBOA;01/01/2009 00:00;EN - Estrada Nacional;Chuva;3;0;0;4
6;CASTELO BRANCO;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;3
19;VISEU;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;1;2;0;2
19;VISEU;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;28
14;PORTO;01/01/2009 00:00;EN - Estrada Nacional;Chuva;4;0;0;3
2;AVEIRO;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;1;3
9;FARO;01/01/2012 00:00;Outra Via;Bom tempo;1;0;0;1
2;AVEIRO;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;1;0;2
12;LISBOA;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;28
4;BRAGA;01/01/2011 00:00;A  - Auto-Estrada;Chuva;3;0;0;4
7;COIMBRA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;7
18;VILA REAL;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;2
16;SETUBAL;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;10
15;SANTAREM;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;4;1;0;1
15;SANTAREM;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;1;1;1
2;AVEIRO;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;1;1
14;PORTO;01/01/2009 00:00;Arruamento;Bom tempo;1;0;0;2
19;VISEU;01/01/2009 00:00;IP- Itinerário Principal;Chuva;1;0;0;1
8;EVORA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;1;1
7;COIMBRA;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;2
11;LEIRIA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;13
7;COIMBRA;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;4
3;BEJA;01/01/2010 00:00;IP- Itinerário Principal;Chuva;0;1;0;1
12;LISBOA;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;0;2;0;1
15;SANTAREM;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;7
12;LISBOA;01/01/2008 00:00;A  - Auto-Estrada;Chuva;3;0;0;7
14;PORTO;01/01/2008 00:00;A  - Auto-Estrada;Chuva;4;0;0;7
2;AVEIRO;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;1
19;VISEU;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;7
14;PORTO;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;6
12;LISBOA;01/01/2008 00:00;IC - Itinerário Complementar;Chuva;3;0;0;2
12;LISBOA;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;0;1;2;1
10;GUARDA;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;7
2;AVEIRO;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;0;1;0;2
9;FARO;01/01/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;25
7;COIMBRA;01/01/2007 00:00;EN - Estrada Nacional;Nevoeiro;0;1;0;1
19;VISEU;01/01/2007 00:00;EN - Estrada Nacional;Chuva;3;0;0;6
7;COIMBRA;01/01/2008 00:00;EN - Estrada Nacional;Nevoeiro;0;0;1;1
7;COIMBRA;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;1
12;LISBOA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;2;1;1;2
2;AVEIRO;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;2;2;1
5;BRAGANCA;01/01/2012 00:00;IP- Itinerário Principal;Chuva;1;0;0;2
12;LISBOA;01/01/2012 00:00;ER - Estrada Regional;Bom tempo;0;1;0;1
12;LISBOA;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;46
3;BEJA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;2
18;VILA REAL;01/01/2012 00:00;IP- Itinerário Principal;Bom tempo;4;0;0;1
14;PORTO;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;2
2;AVEIRO;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;5;0;0;1
16;SETUBAL;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;4;3;2;1
15;SANTAREM;01/01/2010 00:00;A  - Auto-Estrada;Nevoeiro;3;0;0;1
14;PORTO;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;217
3;BEJA;01/01/2009 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
2;AVEIRO;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;88
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;6;2;0;1
13;PORTALEGRE;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
8;EVORA;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;9
17;VIANA DO CASTELO;01/01/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;12
13;PORTALEGRE;01/01/2009 00:00;IP- Itinerário Principal;Chuva;1;0;0;3
3;BEJA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;5;1;0;1
18;VILA REAL;01/01/2007 00:00;A  - Auto-Estrada;Chuva;3;0;0;1
4;BRAGA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;4;0;0;6
16;SETUBAL;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;4
6;CASTELO BRANCO;01/01/2009 00:00;EN - Estrada Nacional;Nevoeiro;2;0;0;1
11;LEIRIA;01/01/2009 00:00;IC - Itinerário Complementar;Chuva;2;1;0;2
8;EVORA;01/01/2009 00:00;ER - Estrada Regional;Bom tempo;2;1;0;1
11;LEIRIA;01/01/2009 00:00;IP- Itinerário Principal;Bom tempo;5;0;0;1
9;FARO;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;1
11;LEIRIA;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;2
16;SETUBAL;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;6;3;0;1
6;CASTELO BRANCO;01/01/2008 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;2
15;SANTAREM;01/01/2008 00:00;EN - Estrada Nacional;Chuva;0;1;0;3
7;COIMBRA;01/01/2010 00:00;IC - Itinerário Complementar;Bom tempo;1;2;0;1
3;BEJA;01/01/2007 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;4
12;LISBOA;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;6
7;COIMBRA;01/01/2010 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;3
15;SANTAREM;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;2
4;BRAGA;01/01/2012 00:00;EN - Estrada Nacional;Chuva;6;0;0;2
13;PORTALEGRE;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;1;2;0;1
17;VIANA DO CASTELO;01/01/2009 00:00;EN - Estrada Nacional;Chuva;1;0;0;62
8;EVORA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;89
11;LEIRIA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;3;1;0;1
8;EVORA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;2;0;1
13;PORTALEGRE;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;11
7;COIMBRA;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;6
18;VILA REAL;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;3
2;AVEIRO;01/01/2011 00:00;A  - Auto-Estrada;Nevoeiro;1;0;0;1
7;COIMBRA;01/01/2010 00:00;IP- Itinerário Principal;Chuva;1;0;0;21
6;CASTELO BRANCO;01/01/2010 00:00;IC - Itinerário Complementar;Neve;0;1;0;1
16;SETUBAL;01/01/2010 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;5
12;LISBOA;01/01/2011 00:00;ER - Estrada Regional;Bom tempo;1;0;0;6
18;VILA REAL;01/01/2008 00:00;IP- Itinerário Principal;Chuva;1;0;0;9
19;VISEU;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;1
11;LEIRIA;01/01/2010 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;1
6;CASTELO BRANCO;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;11
9;FARO;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;5
5;BRAGANCA;01/01/2008 00:00;IP- Itinerário Principal;Bom tempo;4;0;0;1
4;BRAGA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;3
9;FARO;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;6
6;CASTELO BRANCO;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;22
9;FARO;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;1;0;3
18;VILA REAL;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;19
2;AVEIRO;01/01/2011 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;19
16;SETUBAL;01/01/2009 00:00;ER - Estrada Regional;Chuva;1;0;0;5
8;EVORA;01/01/2008 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;2
10;GUARDA;01/01/2009 00:00;EN - Estrada Nacional;Chuva;0;1;0;4
3;BEJA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;45
13;PORTALEGRE;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
12;LISBOA;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;2;1;0;1
3;BEJA;01/01/2011 00:00;ER - Estrada Regional;Chuva;1;0;0;2
9;FARO;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;7
11;LEIRIA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;4;0;1
9;FARO;01/01/2007 00:00;ER - Estrada Regional;Bom tempo;0;1;0;1
4;BRAGA;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;3;3;0;1
10;GUARDA;01/01/2010 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
11;LEIRIA;01/01/2012 00:00;A  - Auto-Estrada;Chuva;4;1;0;1
5;BRAGANCA;01/01/2008 00:00;EN - Estrada Nacional;Chuva;0;1;1;1
8;EVORA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;0;0;1;4
6;CASTELO BRANCO;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;3
12;LISBOA;01/01/2007 00:00;EN - Estrada Nacional;Chuva;2;2;0;1
12;LISBOA;01/01/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;64
4;BRAGA;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;4;1;0;1
11;LEIRIA;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;1;1;1;1
14;PORTO;01/01/2010 00:00;A  - Auto-Estrada;Chuva;1;1;0;1
5;BRAGANCA;01/01/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;12
9;FARO;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;0;2;0;1
